name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
INSTALLED_APPS,145,,,,,,131,,,14,UPPER_CASE_WITH_UNDERSCORES
core,705,,,695,,,,,,10,lowercase
management,349,,,150,,,,,,199,lowercase
execute_from_command_line,9,1,,3,,,,,,5,lower_case_with_underscores
importlib,49,,,37,,,,,,12,lowercase
import_module,105,1,,29,,,,,,75,lower_case_with_underscores
exceptions,395,,,277,,,,,,118,lowercase
ImproperlyConfigured,300,,1,104,,,,,,195,CapitalizedWords
module_loading,30,,,30,,,,,,,lower_case_with_underscores
module_has_submodule,25,1,,4,,,,,,20,lower_case_with_underscores
MODELS_MODULE_NAME,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
AppConfig,61,,1,22,,,,,,38,CapitalizedWords
app_name,71,,,,,5,1,,,65,lower_case_with_underscores
app_module,5,,,,,1,,,,4,lower_case_with_underscores
module,124,,,,,7,37,,,80,lowercase
label,315,1,,,,33,56,,,225,lowercase
rpartition,8,,,,,,,,,8,lowercase
verbose_name,280,,,,,14,135,,,131,lower_case_with_underscores
title,798,1,,1,,6,404,,,386,lowercase
_path_from_module,2,1,,,,,,,,1,lower_case_with_underscores
models_module,25,,,,,,,,,25,lower_case_with_underscores
models,9307,,,1279,,16,1,,,8011,lowercase
paths,36,,,,,5,,,,31,lowercase
getattr,588,,,,,,,,,588,lowercase
len,1596,,,,,2,,,,1594,lowercase
filename,279,1,,,,32,4,,,242,lowercase
dirname,184,,,2,,2,,,,180,lowercase
set,578,9,,,,,,,,569,lowercase
create,3740,13,,,,1,3,,,3723,lowercase
cls,2175,,,,,383,13,,,1779,lowercase
entry,89,,,,,6,1,,,82,lowercase
ImportError,133,,,,,,,,,133,CapitalizedWords
mod_path,8,,,,,,,,,8,lower_case_with_underscores
_,789,,,,,1,,97,,691,ugly
cls_name,8,,,,,1,,,,7,lower_case_with_underscores
default_app_config,17,,,,,,,,,17,lower_case_with_underscores
mod,48,,,,,1,,,,47,lowercase
issubclass,44,,,,,,,,,44,lowercase
classmethod,322,,,,,,,,,322,lowercase
get_model,199,2,,,,1,,,,196,lower_case_with_underscores
model_name,439,,,,,39,67,,,333,lower_case_with_underscores
require_ready,8,,,,,2,2,,,4,lower_case_with_underscores
check_models_ready,6,1,,,,,,,,5,lower_case_with_underscores
check_apps_ready,7,1,,,,,,,,6,lower_case_with_underscores
lower,300,1,,1,,,,,,298,lowercase
KeyError,154,,,,,,,,,154,CapitalizedWords
LookupError,48,,,,,,,,,48,CapitalizedWords
get_models,43,2,,,,,,,,41,lower_case_with_underscores
include_auto_created,13,,,,,3,7,,,3,lower_case_with_underscores
include_swapped,6,,,,,2,2,,,2,lower_case_with_underscores
values,610,3,,,,19,,,,588,lowercase
auto_created,137,,,,,1,65,,,71,lower_case_with_underscores
swapped,31,1,,,,,,,,30,lowercase
import_models,4,2,,,,,,,,2,lower_case_with_underscores
all_models,32,,,,,,,,,32,lower_case_with_underscores
models_module_name,2,,,,,,,,,2,lower_case_with_underscores
ready,35,9,,,,,,,,26,lowercase
functools,113,,,70,,,,,,43,lowercase
threading,79,,,31,,1,1,,,46,lowercase
collections,59,,,51,,,,,,8,lowercase
Counter,24,,2,8,,,,,,14,CapitalizedWords
OrderedDict,110,,,26,,,,,,84,CapitalizedWords
defaultdict,18,,,8,,,,,,10,lowercase
partial,49,,,12,,,,,,37,lowercase
AppRegistryNotReady,10,,1,3,,,,,,6,CapitalizedWords
config,65,,,3,,4,11,,,47,lowercase
Apps,58,,1,13,,,,,,44,CapitalizedWords
installed_apps,15,,,,,3,2,1,,9,lower_case_with_underscores
modules,44,,,,,,,,,44,lowercase
RuntimeError,46,,,,,,,,,46,CapitalizedWords
app_configs,114,,,,,36,7,,,71,lower_case_with_underscores
stored_app_configs,5,,,,,,,,,5,lower_case_with_underscores
apps_ready,8,,,,,,,,,8,lower_case_with_underscores
models_ready,9,,,,,,,,,9,lower_case_with_underscores
_lock,17,,,,,,,,,17,lowercase
RLock,4,,,,,,,,,4,CapitalizedWords
loading,4,,,,,,,,,4,lowercase
_pending_operations,14,,,,,,,,,14,lower_case_with_underscores
app_config,218,1,,,,8,3,,,206,lower_case_with_underscores
counts,25,,,,,,,,,25,lowercase
duplicates,6,,,,,,,,,6,lowercase
count,1133,5,,1,,9,31,,,1087,lowercase
most_common,2,,,,,,,,,2,lower_case_with_underscores
clear_cache,42,4,,,,,,,,38,lower_case_with_underscores
get_app_configs,45,1,,,,,,,,44,lower_case_with_underscores
get_app_config,50,1,,,,,,,,49,lower_case_with_underscores
app_label,1137,,,,,161,58,,,918,lower_case_with_underscores
message,669,3,,5,,45,32,,,584,lowercase
result,941,,,,,35,5,,,901,lowercase
extend,321,1,,,,,,,,320,lowercase
lru_cache,32,,,3,,,,,,29,lower_case_with_underscores
maxsize,18,,,,,,16,,,2,lowercase
split,286,2,,,,,,,,284,lowercase
register_model,7,2,,,,,,,,5,lower_case_with_underscores
app_models,16,,,,,,,,,16,lower_case_with_underscores
RuntimeWarning,30,,,,,,,,,30,CapitalizedWords
do_pending_operations,3,1,,,,,,,,2,lower_case_with_underscores
is_installed,16,1,,,,,,,,15,lower_case_with_underscores
any,67,,,,,,,,,67,lowercase
ac,29,,,,,1,,,,28,lowercase
get_containing_app_config,3,1,,,,,,,,2,lower_case_with_underscores
candidates,10,,,,,,,,,10,lowercase
subpath,3,,,,,,,,,3,lowercase
sorted,204,,,,,,,,,204,lowercase
key,921,,,,1,136,49,,,735,lowercase
get_registered_model,2,1,,,,,,,,1,lower_case_with_underscores
get_swappable_settings_name,10,1,,,,,,,,9,lower_case_with_underscores
to_string,15,2,,,,1,,,,12,lower_case_with_underscores
swappable,34,,,,,3,,,,31,lowercase
set_available_apps,3,1,,,,,,,,2,lower_case_with_underscores
available,12,,,,,1,,,,11,lowercase
installed,6,1,,,,1,,,,4,lowercase
issubset,5,,,,,,,,,5,lowercase
items,508,16,,,,9,,,,483,lowercase
unset_available_apps,4,1,,,,,,,,3,lower_case_with_underscores
pop,230,5,,,,,,,,225,lowercase
set_installed_apps,3,1,,,,,,,,2,lower_case_with_underscores
unset_installed_apps,3,1,,,,,,,,2,lower_case_with_underscores
cache_clear,31,,,,,,,,,31,lower_case_with_underscores
_expire_cache,15,1,,,,,,,,14,lower_case_with_underscores
lazy_model_operation,8,1,,,,,,,,7,lower_case_with_underscores
function,146,1,,,,12,21,,,112,lowercase
model_keys,11,,,,,1,,,,10,lower_case_with_underscores
