name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
STRING_CHOICES_WITH_NONE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['string', 'choices', 'with', 'none']"
choice_string_w_none,1,,,,,,,,,1,lower_case_with_underscores,"['choice', 'string', 'w', 'none']"
choice_integer,5,,,,,,3,,,2,lower_case_with_underscores,"['choice', 'integer']"
ChoiceOptionModel,23,,1,1,,,,,,21,CapitalizedWords,"['choice', 'option', 'model']"
choice_default,4,1,,,,,,,,3,lower_case_with_underscores,"['choice', 'default']"
choice_default_list,2,1,,,,,,,,1,lower_case_with_underscores,"['choice', 'default', 'list']"
int_default,2,1,,,,,,,,1,lower_case_with_underscores,"['int', 'default']"
int_list_default,2,1,,,,,,,,1,lower_case_with_underscores,"['int', 'list', 'default']"
ChoiceFieldModel,5,,1,1,,,,,,3,CapitalizedWords,"['choice', 'field', 'model']"
choice_int,2,,,,,,,,,2,lower_case_with_underscores,"['choice', 'int']"
multi_choice,5,,,,,,,,,5,lower_case_with_underscores,"['multi', 'choice']"
multi_choice_int,3,,,,,,,,,3,lower_case_with_underscores,"['multi', 'choice', 'int']"
OptionalMultiChoiceModel,3,,1,1,,,,,,1,CapitalizedWords,"['optional', 'multi', 'choice', 'model']"
multi_choice_optional,1,,,,,,,,,1,lower_case_with_underscores,"['multi', 'choice', 'optional']"
Cheese,3,,1,1,,,,,,1,CapitalizedWords,['cheese']
ArticleFormView,3,,1,1,,,,,,1,CapitalizedWords,"['article', 'form', 'view']"
GetDate,9,,1,,,,,,,8,CapitalizedWords,"['get', 'date']"
mydate,4,,,,,,,,,4,lowercase,['mydate']
DateFieldTest,1,,1,,,,,,,,CapitalizedWords,"['date', 'field', 'test']"
test_form_field,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'form', 'field']"
test_l10n_date_changed,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'l10n', 'date', 'changed']"
GetDateShowHiddenInitial,5,,1,,,,,,,4,CapitalizedWords,"['get', 'date', 'show', 'hidden', 'initial']"
test_l10n_invalid_date_in,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'l10n', 'invalid', 'date', 'in']"
test_form_label_association,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'form', 'label', 'association']"
beatles,20,,,,,,,,,20,lowercase,['beatles']
ComplexMultiWidget,7,,2,,,,,,,5,CapitalizedWords,"['complex', 'multi', 'widget']"
ComplexField,9,,3,,,,,,,6,CapitalizedWords,"['complex', 'field']"
ComplexFieldForm,4,,1,,,,,,,3,CapitalizedWords,"['complex', 'field', 'form']"
field1,22,,,,,,2,,,20,lowercase,['field1']
MultiValueFieldTest,2,,1,,,,,,,1,CapitalizedWords,"['multi', 'value', 'field', 'test']"
test_clean,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'clean']"
test_bad_choice,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'bad', 'choice']"
test_no_value,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'no', 'value']"
test_has_changed_no_initial,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'has', 'changed', 'no', 'initial']"
test_has_changed_same,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'has', 'changed', 'same']"
