name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
master_doc,1,,,,,,,,,1,lower_case_with_underscores,"['master', 'doc']"
module_list,2,,,,,,,,,2,lower_case_with_underscores,"['module', 'list']"
abs_dir,3,,,,,,,,,3,lower_case_with_underscores,"['abs', 'dir']"
DEST,1,,,,,,,,,1,UPPERCASE,"['des', 't']"
to,3,,,,,,,,,3,lowercase,['to']
FileSystemLoader,3,,,1,,,,,,2,CapitalizedWords,"['file', 'system', 'loader']"
serole,5,,,,,,2,,,3,lowercase,['serole']
unfrackpath,3,1,,,,,,,,2,lowercase,['unfrackpath']
imported_file,7,,,,,,,,,7,lower_case_with_underscores,"['imported', 'file']"
sample,43,,,,,,,,,43,lowercase,['sample']
is_selinux_enabled,1,,,,,,,,,1,lower_case_with_underscores,"['is', 'selinux', 'enabled']"
call,2,,,,,,,,,2,lowercase,['call']
dns,6,,,2,,,,,,4,lowercase,['dns']
files2,2,,,,,,,,,2,lowercase,['files2']
type,114,,,,,,4,,,110,lowercase,['type']
until,6,,,,,,,,,6,lowercase,['until']
i_end,3,,,,,,,,,3,lower_case_with_underscores,"['i', 'end']"
isatty,1,,,,,,,,,1,lowercase,['isatty']
st_nlink,1,,,,,,,,,1,lower_case_with_underscores,"['st', 'nlink']"
DIST_MODULE_PATH,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['dist', 'module', 'path']"
accumulated_plays,4,,,,,,,,,4,lower_case_with_underscores,"['accumulated', 'plays']"
webbrowser,2,,,1,,,,,,1,lowercase,['webbrowser']
DEFAULT_REMOTE_PORT,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['default', 'remote', 'port']"
get_platform,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'platform']"
unpack,1,,,,,,,,,1,lowercase,['unpack']
add_child_group,11,1,,,,,,,,10,lower_case_with_underscores,"['add', 'child', 'group']"
branch_path,4,,,,,,,,,4,lower_case_with_underscores,"['branch', 'path']"
from_string,2,,,,,,,,,2,lower_case_with_underscores,"['from', 'string']"
join,188,,,,,,,,,188,lowercase,['join']
err,36,1,,,,,,,,35,lowercase,['err']
output_opts,2,,,,,,,,,2,lower_case_with_underscores,"['output', 'opts']"
extra_vars,14,,,,,,1,,,13,lower_case_with_underscores,"['extra', 'vars']"
setup,15,2,,1,,,1,,,11,lowercase,['setup']
strerror,3,,,,,,,,,3,lowercase,['strerror']
mv,6,,,,,,,,,6,lowercase,['mv']
fnmatch,8,,,2,,,,,,6,lowercase,['fnmatch']
allgroup,2,,,,,,,,,2,lowercase,['allgroup']
DEFAULT_ASK_PASS,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES,"['default', 'ask', 'pass']"
smtp,3,,,,,,,,,3,lowercase,['smtp']
compare_tags,2,1,,,,,,,,1,lower_case_with_underscores,"['compare', 'tags']"
OSError,22,,,,,,,,,22,CapitalizedWords,"['os', 'error']"
end,45,,,,,,2,,,43,lowercase,['end']
actual_port,11,,,,,,,,,11,lower_case_with_underscores,"['actual', 'port']"
MSG_FORMAT,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['msg', 'format']"
test_callback,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'callback']"
on_no_hosts,7,4,,,,,,,,3,lower_case_with_underscores,"['on', 'no', 'hosts']"
_check_invalid_arguments,2,1,,,,,,,,1,lower_case_with_underscores,"['check', 'invalid', 'arguments']"
max_fail_pct,5,,,,,,,,,5,lower_case_with_underscores,"['max', 'fail', 'pct']"
unmatched_tags,4,,,,,,,,,4,lower_case_with_underscores,"['unmatched', 'tags']"
env,25,,,,,,1,,,24,lowercase,['env']
zabbix_username,4,,,,,,,,,4,lower_case_with_underscores,"['zabbix', 'username']"
pathname,4,,,,,,,,,4,lowercase,['pathname']
ancestor,2,,,,,,,,,2,lowercase,['ancestor']
config,88,,,,,,,,,88,lowercase,['config']
