name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
query_remote_dcs,2,,,,,,,,,2,lower_case_with_underscores,"['query', 'remote', 'dcs']"
test_construct_task_with_role,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'construct', 'task', 'with', 'role']"
HAS_HASH,18,,,,,,,,,18,UPPER_CASE_WITH_UNDERSCORES,"['has', 'hash']"
vault_pass2,2,,,,,,,,,2,lower_case_with_underscores,"['vault', 'pass2']"
mysql_quote_identifier,1,1,,,,,,,,,lower_case_with_underscores,"['mysql', 'quote', 'identifier']"
second,2,,,,,,,,,2,lowercase,['second']
Version,5,,,,,,,,,5,CapitalizedWords,['version']
local_action,3,,,,,,3,,,,lower_case_with_underscores,"['local', 'action']"
urlunparse,1,,,,,,,,,1,lowercase,['urlunparse']
UnarySub,1,,,,,,,,,1,CapitalizedWords,"['unary', 'sub']"
test_local_action_string,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'local', 'action', 'string']"
all_vars,13,,,,,,,,,13,lower_case_with_underscores,"['all', 'vars']"
AnsibleParsingError,3,,,,,,,,,3,CapitalizedWords,"['ansible', 'parsing', 'error']"
vars_cache,22,,,,,,2,,,20,lower_case_with_underscores,"['vars', 'cache']"
tcgetattr,1,,,,,,,,,1,lowercase,['tcgetattr']
route53_enabled,3,,,,,,,,,3,lower_case_with_underscores,"['route53', 'enabled']"
errors,499,,,113,,,1,16,,369,lowercase,['errors']
load_platform_subclass,1,1,,,,,,,,,lower_case_with_underscores,"['load', 'platform', 'subclass']"
item_attr,2,,,,,,,,,2,lower_case_with_underscores,"['item', 'attr']"
item0,20,,,,,,,,,20,lowercase,['item0']
item1,4,,,,,,,,,4,lowercase,['item1']
exclude_patterns,1,,,,,,,,,1,lower_case_with_underscores,"['exclude', 'patterns']"
mock_method,4,,,,,,,,,4,lower_case_with_underscores,"['mock', 'method']"
meta_data,3,,,,,,,,,3,lower_case_with_underscores,"['meta', 'data']"
_split_info,2,1,,,,,,,,1,lower_case_with_underscores,"['split', 'info']"
Amazon,1,,,,,,1,,,,CapitalizedWords,['amazon']
ModuleDocFragment,3,,3,,,,,,,,CapitalizedWords,"['module', 'doc', 'fragment']"
enc_data,36,,,,,,,,,36,lower_case_with_underscores,"['enc', 'data']"
ip_type,4,,,,,,,,,4,lower_case_with_underscores,"['ip', 'type']"
Call,2,,,,,,,,,2,CapitalizedWords,['call']
_safe_template_complex_args,3,1,,,,,,,,2,lower_case_with_underscores,"['safe', 'template', 'complex', 'args']"
SphinxBuilder,2,,1,,,,,,,1,CapitalizedWords,"['sphinx', 'builder']"
metadata,15,,,1,,,,,,14,lowercase,['metadata']
expected_groups_for_host,3,,,,,,,,,3,lower_case_with_underscores,"['expected', 'groups', 'for', 'host']"
new_val,2,,,,,,,,,2,lower_case_with_underscores,"['new', 'val']"
existing_vars_files,2,,,,,,,,,2,lower_case_with_underscores,"['existing', 'vars', 'files']"
GenericBsdIfconfigNetwork,6,,1,,,,,,,5,CapitalizedWords,"['generic', 'bsd', 'ifconfig', 'network']"
ipaddresses,2,,,,,,,,,2,lowercase,['ipaddresses']
today_fmt,1,,,,,,,,,1,lower_case_with_underscores,"['today', 'fmt']"
_system_host_keys,1,,,,,,,,,1,lower_case_with_underscores,"['system', 'host', 'keys']"
