name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
logging,56,,,5,,,,,,51,lowercase
sys,12,,,4,,,,,,8,lowercase
pathlib,24,,,24,,,,,,,lowercase
Path,133,1,1,37,,,,1,,93,CapitalizedWords
typing,209,,,204,,,,,,5,lowercase
Optional,1193,,,156,,,,,,1037,CapitalizedWords
httpx,8,,,4,,,,,,4,lowercase
github,6,,,6,,,,,,,lowercase
Github,8,,,4,,,,,,4,CapitalizedWords
PullRequest,3,,,2,,,,,,1,CapitalizedWords
pydantic,216,,,216,,,,,,,lowercase
BaseModel,514,,,185,,,,,,329,CapitalizedWords
BaseSettings,18,,,9,,,,,,9,CapitalizedWords
SecretStr,9,,,4,,,,,,5,CapitalizedWords
ValidationError,27,,,11,,,,,,16,CapitalizedWords
github_api,4,,,,,,,,,4,lower_case_with_underscores
Settings,30,,9,2,,,,,,19,CapitalizedWords
github_repository,10,,,,,,,,,10,lower_case_with_underscores
str,1620,,,,,,,,,1620,lowercase
github_event_path,7,,,,,,,,,7,lower_case_with_underscores
github_event_name,3,,,,,,,,,3,lower_case_with_underscores
input_token,10,,,,,,,,,10,lower_case_with_underscores
input_deploy_url,2,,,,,,,,,2,lower_case_with_underscores
PartialGithubEventHeadCommit,2,,1,,,,,,,1,CapitalizedWords
id,59,,,,,14,,,,45,lowercase
PartialGithubEventWorkflowRun,2,,1,,,,,,,1,CapitalizedWords
head_commit,3,,,,,,,,,3,lower_case_with_underscores
PartialGithubEvent,2,,1,,,,,,,1,CapitalizedWords
workflow_run,3,,,,,,,,,3,lower_case_with_underscores
basicConfig,5,,,,,,,,,5,mixedCase
level,5,,,,,,5,,,,lowercase
INFO,4,,,,,,,,,4,UPPERCASE
settings,81,,,2,,9,12,,,58,lowercase
info,41,4,,,,,,,,37,lowercase
json,887,,,4,,,105,,,778,lowercase
g,8,,,,,,,,,8,b
get_secret_value,7,,,,,,,,,7,lower_case_with_underscores
repo,10,,,,,,,,,10,lowercase
get_repo,4,,,,,,,,,4,lower_case_with_underscores
event,4,,,,,1,,,,3,lowercase
parse_file,1,,,,,,,,,1,lower_case_with_underscores
e,18,,,,7,,,,,11,b
error,8,,,,,,,,,8,lowercase
errors,61,,,1,,2,,,,58,lowercase
exit,4,,,,,,,,,4,lowercase
use_pr,5,,,,,,,,,5,lower_case_with_underscores
pr,33,,,,,,,,,33,lowercase
get_pulls,2,,,,,,,,,2,lower_case_with_underscores
sha,3,,,,,,,,,3,lowercase
head,9,2,,,,,1,,,6,lowercase
github_headers,2,,,,,,,,,2,lower_case_with_underscores
url,101,,,,,7,,,,94,lowercase
number,17,,,,,,,,,17,lowercase
response,3451,,,,,12,1,,,3438,lowercase
post,281,2,,,,,,,,279,lowercase
headers,350,,,,,4,162,,,184,lowercase
status_code,1007,,,,,27,131,,,849,lower_case_with_underscores
text,749,,,,,2,2,,,745,lowercase
time,20,,,7,,,,,,13,lowercase
random,3,,,1,,,,,,2,lowercase
Dict,232,,,22,,,,,,210,CapitalizedWords
yaml,12,,,4,,,,,,8,lowercase
awaiting_label,2,,,,,,,,,2,lower_case_with_underscores
lang_all_label,3,,,,,,,,,3,lower_case_with_underscores
approved_label,2,,,,,,,,,2,lower_case_with_underscores
translations_path,2,,,,,,,,,2,lower_case_with_underscores
parent,3,,,,,,,,,3,lowercase
input_debug,2,,,,,,,,,2,lower_case_with_underscores
