name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
logging,38,,,4,,,,,,34,lowercase
sys,8,,,3,,,,,,5,lowercase
pathlib,15,,,15,,,,,,,lowercase
Path,108,1,1,26,,,,1,,79,CapitalizedWords
typing,177,,,172,,,,,,5,lowercase
Optional,1059,,,129,,,,,,930,CapitalizedWords
httpx,8,,,4,,,,,,4,lowercase
github,5,,,5,,,,,,,lowercase
Github,6,,,3,,,,,,3,CapitalizedWords
PullRequest,3,,,2,,,,,,1,CapitalizedWords
pydantic,140,,,140,,,,,,,lowercase
BaseModel,338,,,110,,,,,,228,CapitalizedWords
BaseSettings,16,,,8,,,,,,8,CapitalizedWords
SecretStr,7,,,3,,,,,,4,CapitalizedWords
ValidationError,21,,,8,,,,,,13,CapitalizedWords
github_api,4,,,,,,,,,4,lower_case_with_underscores
Settings,26,,8,,,,,,,18,CapitalizedWords
github_repository,8,,,,,,,,,8,lower_case_with_underscores
str,1237,,,,,,,,,1237,lowercase
github_event_path,3,,,,,,,,,3,lower_case_with_underscores
github_event_name,2,,,,,,,,,2,lower_case_with_underscores
input_token,8,,,,,,,,,8,lower_case_with_underscores
input_deploy_url,2,,,,,,,,,2,lower_case_with_underscores
PartialGithubEventHeadCommit,2,,1,,,,,,,1,CapitalizedWords
id,40,,,,,13,,,,27,lowercase
PartialGithubEventWorkflowRun,2,,1,,,,,,,1,CapitalizedWords
head_commit,3,,,,,,,,,3,lower_case_with_underscores
PartialGithubEvent,2,,1,,,,,,,1,CapitalizedWords
workflow_run,3,,,,,,,,,3,lower_case_with_underscores
basicConfig,3,,,,,,,,,3,mixedCase
level,3,,,,,,3,,,,lowercase
INFO,3,,,,,,,,,3,UPPERCASE
settings,69,,,1,,9,12,,,47,lowercase
info,31,4,,,,1,,,,26,lowercase
json,606,,,4,,,68,,,534,lowercase
g,6,,,,,,,,,6,b
get_secret_value,6,,,,,,,,,6,lower_case_with_underscores
repo,7,,,,,,,,,7,lowercase
get_repo,3,,,,,,,,,3,lower_case_with_underscores
event,4,,,,,1,,,,3,lowercase
parse_file,1,,,,,,,,,1,lower_case_with_underscores
e,16,,,,6,,,,,10,b
error,7,,,,,,,,,7,lowercase
errors,60,,,1,,2,,,,57,lowercase
exit,4,,,,,,,,,4,lowercase
use_pr,5,,,,,,,,,5,lower_case_with_underscores
pr,21,,,,,,,,,21,lowercase
get_pulls,2,,,,,,,,,2,lower_case_with_underscores
sha,3,,,,,,,,,3,lowercase
head,9,2,,,,,1,,,6,lowercase
github_headers,2,,,,,,,,,2,lower_case_with_underscores
url,73,,,,,5,,,,68,lowercase
number,6,,,,,,,,,6,lowercase
response,2426,,,,,12,1,,,2413,lowercase
post,171,2,,,,,,,,169,lowercase
headers,257,,,,,3,96,,,158,lowercase
status_code,719,,,,,27,98,,,594,lower_case_with_underscores
text,526,,,,,2,2,,,522,lowercase
subprocess,7,,,1,,,,,,6,lowercase
collections,2,,,2,,,,,,,lowercase
Counter,7,,,1,,,,,,6,CapitalizedWords
defaultdict,4,,,2,,,,,,2,lowercase
datetime,43,,,20,,,,,,23,lowercase
timedelta,12,,,4,,,,,,8,lowercase
timezone,6,,,3,,,,,,3,lowercase
Container,2,,,1,,,,,,1,CapitalizedWords
DefaultDict,2,,,1,,,,,,1,CapitalizedWords
Dict,211,,,22,,,,,,189,CapitalizedWords
List,238,,,52,,,,,,186,CapitalizedWords
Set,39,,,17,,,,,,22,CapitalizedWords
yaml,6,,,2,,,,,,4,lowercase
github_graphql_url,2,,,,,,,,,2,lower_case_with_underscores
issues_query,2,,,,,,,,,2,lower_case_with_underscores
prs_query,2,,,,,,,,,2,lower_case_with_underscores
sponsors_query,2,,,,,,,,,2,lower_case_with_underscores
Author,8,,1,,,,,,,7,CapitalizedWords
login,29,4,,,,,,,,25,lowercase
avatarUrl,6,,,,,,,,,6,mixedCase
CommentsNode,2,,1,,,,,,,1,CapitalizedWords
createdAt,4,,,,,,,,,4,mixedCase
author,33,,,,,,,,,33,lowercase
Comments,3,,1,,,,,,,2,CapitalizedWords
nodes,9,,,,,,,,,9,lowercase
IssuesNode,3,,1,,,,,,,2,CapitalizedWords
int,245,,,,,,,,,245,lowercase
title,118,,,,,19,40,,,59,lowercase
state,141,,,,,26,1,,,114,lowercase
comments,4,,,,,,,,,4,lowercase
IssuesEdge,2,,1,,,,,,,1,CapitalizedWords
cursor,6,,,,,,,,,6,lowercase
node,10,,,,,,,,,10,lowercase
Issues,2,,1,,,,,,,1,CapitalizedWords
edges,11,,,,,,,,,11,lowercase
IssuesRepository,2,,1,,,,,,,1,CapitalizedWords
issues,2,,,,,,,,,2,lowercase
IssuesResponseData,2,,1,,,,,,,1,CapitalizedWords
repository,4,,,,,,,,,4,lowercase
IssuesResponse,2,,1,,,,,,,1,CapitalizedWords
data,239,,,,,18,20,,,201,lowercase
LabelNode,2,,1,,,,,,,1,CapitalizedWords
name,310,,,,,51,63,,,196,lowercase
Labels,2,,1,,,,,,,1,CapitalizedWords
ReviewNode,2,,1,,,,,,,1,CapitalizedWords
Reviews,2,,1,,,,,,,1,CapitalizedWords
PullRequestNode,3,,1,,,,,,,2,CapitalizedWords
labels,1,,,,,,,,,1,lowercase
reviews,2,,,,,,,,,2,lowercase
PullRequestEdge,2,,1,,,,,,,1,CapitalizedWords
PullRequests,2,,1,,,,,,,1,CapitalizedWords
PRsRepository,2,,1,,,,,,,1,CapitalizedWords
pullRequests,2,,,,,,,,,2,mixedCase
PRsResponseData,2,,1,,,,,,,1,CapitalizedWords
PRsResponse,2,,1,,,,,,,1,CapitalizedWords
SponsorEntity,3,,1,,,,,,,2,CapitalizedWords
Tier,2,,1,,,,,,,1,CapitalizedWords
monthlyPriceInDollars,2,,,,,,,,,2,mixedCase
float,163,,,,,,,,,163,lowercase
SponsorshipAsMaintainerNode,3,,1,,,,,,,2,CapitalizedWords
sponsorEntity,3,,,,,,,,,3,mixedCase
tier,2,,,,,,,,,2,lowercase
SponsorshipAsMaintainerEdge,2,,1,,,,,,,1,CapitalizedWords
SponsorshipAsMaintainer,2,,1,,,,,,,1,CapitalizedWords
SponsorsUser,2,,1,,,,,,,1,CapitalizedWords
sponsorshipsAsMaintainer,2,,,,,,,,,2,mixedCase
SponsorsResponseData,2,,1,,,,,,,1,CapitalizedWords
user,92,,,,,11,3,,,78,lowercase
SponsorsResponse,2,,1,,,,,,,1,CapitalizedWords
input_standard_token,2,,,,,,,,,2,lower_case_with_underscores
get_graphql_response,4,1,,,,,,,,3,lower_case_with_underscores
query,39,,,,,9,4,,,26,lowercase
after,15,,,,,4,6,,,5,lowercase
variables,3,,,,,,,,,3,lowercase
RuntimeError,20,,,,,,,,,20,CapitalizedWords
get_graphql_issue_edges,3,1,,,,,,,,2,lower_case_with_underscores
graphql_response,6,,,,,,,,,6,lower_case_with_underscores
parse_obj,4,,,,,,,,,4,lower_case_with_underscores
get_graphql_pr_edges,3,1,,,,,,,,2,lower_case_with_underscores
get_graphql_sponsor_edges,3,1,,,,,,,,2,lower_case_with_underscores
get_experts,2,1,,,,,,,,1,lower_case_with_underscores
issue_nodes,3,,,,,,,,,3,lower_case_with_underscores
issue_edges,5,,,,,,,,,5,lower_case_with_underscores
edge,6,,,,,,,,,6,lowercase
append,43,,,,,,,,,43,lowercase
last_edge,6,,,,,,,,,6,lower_case_with_underscores
commentors,6,,,,,,,,,6,lowercase
last_month_commentors,3,,,,,,,,,3,lower_case_with_underscores
authors,21,,,,,1,4,,,16,lowercase
now,4,,,,,,,,,4,lowercase
tz,1,,,,,,1,,,,lowercase
utc,3,,,,,,,,,3,lowercase
one_month_ago,2,,,,,,,,,2,lower_case_with_underscores
days,1,,,,,,1,,,,lowercase
issue,7,,,,,,,,,7,lowercase
issue_author_name,3,,,,,,,,,3,lower_case_with_underscores
issue_commentors,6,,,,,,,,,6,lower_case_with_underscores
set,24,,,,,,,,,24,lowercase
comment,12,,,,,,,,,12,lowercase
add,6,,,,,,,,,6,lowercase
author_name,8,,,,,,,,,8,lower_case_with_underscores
get_contributors,2,1,,,,,,,,1,lower_case_with_underscores
pr_nodes,3,,,,,,,,,3,lower_case_with_underscores
pr_edges,5,,,,,,,,,5,lower_case_with_underscores
contributors,6,,,,,,,,,6,lowercase
reviewers,5,,,,,,,,,5,lowercase
pr_commentors,4,,,,,,,,,4,lower_case_with_underscores
pr_reviewers,3,,,,,,,,,3,lower_case_with_underscores
review,5,,,,,,,,,5,lowercase
reviewer,2,,,,,,,,,2,lowercase
get_individual_sponsors,2,1,,,,,,,,1,lower_case_with_underscores
tiers,7,,,,,,,,,7,lowercase
dict,50,,,,,,,,,50,lowercase
get_top_users,5,1,,,,,,,,4,lower_case_with_underscores
counter,6,,,,,1,4,,,1,lowercase
min_count,6,,,,,1,4,,,1,lower_case_with_underscores
skip_users,11,,,,,1,4,,,6,lower_case_with_underscores
users,13,,,1,,,,,,12,lowercase
commentor,4,,,,,,,,,4,lowercase
count,11,,,,,4,,,,7,lowercase
most_common,1,,,,,,,,,1,lower_case_with_underscores
issue_last_month_commentors,2,,,,,,,,,2,lower_case_with_underscores
issue_authors,2,,,,,,,,,2,lower_case_with_underscores
pr_authors,2,,,,,,,,,2,lower_case_with_underscores
maintainers_logins,3,,,,,,,,,3,lower_case_with_underscores
bot_names,2,,,,,,,,,2,lower_case_with_underscores
maintainers,3,,,,,,,,,3,lowercase
min_count_expert,2,,,,,,,,,2,lower_case_with_underscores
min_count_last_month,2,,,,,,,,,2,lower_case_with_underscores
min_count_contributor,2,,,,,,,,,2,lower_case_with_underscores
min_count_reviewer,2,,,,,,,,,2,lower_case_with_underscores
experts,2,,,,,,,,,2,lowercase
last_month_active,2,,,,,,,,,2,lower_case_with_underscores
top_contributors,2,,,,,,,,,2,lower_case_with_underscores
top_reviewers,2,,,,,,,,,2,lower_case_with_underscores
sponsors_50,3,,,,,,,,,3,lower_case_with_underscores
sponsor,6,,,,,,,,,6,lowercase
items,93,,,1,,5,,,,87,lowercase
keys,7,,,,,,,,,7,lowercase
list,33,,,,,,,,,33,lowercase
sort,1,,,,,,,,,1,lowercase
reverse,1,,,,,,1,,,,lowercase
sponsors,6,,,,,,1,,,5,lowercase
key,32,,,,,2,4,,,26,lowercase
people,2,,,,,,,,,2,lowercase
people_path,4,,,,,,,,,4,lower_case_with_underscores
people_old_content,2,,,,,,,,,2,lower_case_with_underscores
read_text,10,,,,,,,,,10,lower_case_with_underscores
encoding,16,,,,,,15,,,1,lowercase
new_content,7,,,,,,,,,7,lower_case_with_underscores
dump,4,,,,,,,,,4,lowercase
sort_keys,4,,,,,,4,,,,lower_case_with_underscores
width,4,,,,,,4,,,,lowercase
allow_unicode,4,,,,,,4,,,,lower_case_with_underscores
write_text,9,,,,,,,,,9,lower_case_with_underscores
run,7,,,,,,,,,7,lowercase
check,6,,,,,,6,,,,lowercase
branch_name,5,,,,,,,,,5,lower_case_with_underscores
message,47,,,,,4,1,,,42,lowercase
result,12,,,,,1,,,,11,lowercase
create_pull,1,,,,,,,,,1,lower_case_with_underscores
body,52,1,,1,,9,5,,,36,lowercase
base,7,,,6,,,1,,,,lowercase
NamedUser,3,,,2,,,,,,1,CapitalizedWords
netlify_api,1,,,,,,,,,1,lower_case_with_underscores
Artifact,3,,1,,,,,,,2,CapitalizedWords
node_id,1,,,,,,,,,1,lower_case_with_underscores
size_in_bytes,1,,,,,,,,,1,lower_case_with_underscores
archive_download_url,1,,,,,,,,,1,lower_case_with_underscores
expired,1,,,,,,,,,1,lowercase
bool,244,,,,,,,,,244,lowercase
created_at,1,,,,,,,,,1,lower_case_with_underscores
updated_at,1,,,,,,,,,1,lower_case_with_underscores
ArtifactResponse,2,,1,,,,,,,1,CapitalizedWords
total_count,1,,,,,,,,,1,lower_case_with_underscores
artifacts,2,,,,,,,,,2,lowercase
get_message,2,1,,,,,,,,1,lower_case_with_underscores
commit,12,,,,,1,,,,11,lowercase
owner,9,,,,,1,2,,,6,lowercase
prs,2,,,,,,,,,2,lowercase
get,1012,6,,,,,,,,1006,lowercase
artifacts_response,2,,,,,,,,,2,lower_case_with_underscores
pr_comments,2,,,,,,,,,2,lower_case_with_underscores
get_issue_comments,1,,,,,,,,,1,lower_case_with_underscores
pr_commits,3,,,,,,,,,3,lower_case_with_underscores
get_commits,1,,,,,,,,,1,lower_case_with_underscores
last_commit,4,,,,,,,,,4,lower_case_with_underscores
pr_commit,3,,,,,,,,,3,lower_case_with_underscores
date,2,,,,,,,,,2,lowercase
notified,4,,,,,,,,,4,lowercase
pr_comment,2,,,,,,,,,2,lower_case_with_underscores
artifact_name,3,,,,,,,,,3,lower_case_with_underscores
use_artifact,4,,,,,,,,,4,lower_case_with_underscores
artifact,3,,,,,,,,,3,lowercase
content,76,,,,,2,16,,,58,lowercase
fastapi,653,,,652,,,,,,1,lowercase
FastAPI,584,,1,280,,,,1,,302,CapitalizedWords
responses,184,,,56,,25,62,,,41,lowercase
JSONResponse,89,,,25,,,,1,,63,CapitalizedWords
Item,200,,65,,,,,,,135,CapitalizedWords
value,93,,,,,22,2,,,69,lowercase
Message,4,,2,,,,,,,2,CapitalizedWords
app,1197,2,,106,,1,1,,,1087,lowercase
read_item,20,20,,,,,,,,,lower_case_with_underscores
item_id,207,,,,,96,,,,111,lower_case_with_underscores
response_model,167,,,4,,21,117,,,25,lower_case_with_underscores
FileResponse,8,,,4,,,,1,,3,CapitalizedWords
img,4,,,,,2,,,,2,lowercase
media_type,49,,,,,6,14,,,29,lower_case_with_underscores
Body,55,1,1,18,,,,1,,34,CapitalizedWords
status,41,,,20,,,,1,,20,lowercase
upsert_item,1,1,,,,,,,,,lower_case_with_underscores
size,6,,,,,2,,,,4,lowercase
item,177,,,,,52,3,,,122,lowercase
HTTP_201_CREATED,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
put,46,2,,,,,,,,44,lowercase
middleware,17,,,12,,1,,,,4,lowercase
httpsredirect,2,,,2,,,,,,,lowercase
HTTPSRedirectMiddleware,4,,,2,,,,1,,1,CapitalizedWords
add_middleware,4,,,,,,,,,4,lower_case_with_underscores
main,32,12,,12,,,,,,8,lowercase
trustedhost,2,,,2,,,,,,,lowercase
TrustedHostMiddleware,4,,,2,,,,1,,1,CapitalizedWords
allowed_hosts,1,,,,,,1,,,,lower_case_with_underscores
gzip,6,,,4,,,,,,2,lowercase
GZipMiddleware,4,,,2,,,,1,,1,CapitalizedWords
minimum_size,1,,,,,,1,,,,lower_case_with_underscores
read_main,11,11,,,,,,,,,lower_case_with_underscores
Header,36,1,2,12,,,,1,,20,CapitalizedWords
HTTPException,88,,1,31,,,,1,,55,CapitalizedWords
fake_secret_token,3,,,,,,,,,3,lower_case_with_underscores
fake_db,11,,,,,2,,,,9,lower_case_with_underscores
description,193,,,,,38,43,,,112,lowercase
x_token,12,,,,,6,,,,6,lower_case_with_underscores
detail,60,,,,,1,53,,,6,lowercase
create_item,16,16,,,,,,,,,lower_case_with_underscores
testclient,197,,,197,,,,,,,lowercase
TestClient,418,,,197,,,,1,,220,CapitalizedWords
client,939,4,,4,,26,,,,905,lowercase
test_read_main,9,3,,3,,,,,,3,lower_case_with_underscores
main_b,1,,,1,,,,,,,lower_case_with_underscores
test_read_item,1,1,,,,,,,,,lower_case_with_underscores
test_read_item_bad_token,1,1,,,,,,,,,lower_case_with_underscores
test_read_inexistent_item,1,1,,,,,,,,,lower_case_with_underscores
test_create_item,4,4,,,,,,,,,lower_case_with_underscores
test_create_item_bad_token,1,1,,,,,,,,,lower_case_with_underscores
test_create_existing_item,1,1,,,,,,,,,lower_case_with_underscores
websockets,13,,,13,,,,,,,lowercase
WebSocket,32,,,10,,,,2,,20,CapitalizedWords
websocket,108,3,,,,15,,,,90,lowercase
accept,10,,,,,,,,,10,lowercase
