name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
s3,133,,,101,,,,,,32,lowercase,['s3']
salesforce,50,,,33,,,,,,17,lowercase,['salesforce']
samba,61,,,14,,,,,,47,lowercase,['samba']
segment,31,,,17,,2,,,,12,lowercase,['segment']
sendgrid,28,,,13,,,,,,15,lowercase,['sendgrid']
slack,61,,,40,,,,,,21,lowercase,['slack']
mongo,36,,,26,,,,,,10,lowercase,['mongo']
snowflake,62,,,50,,,,,,12,lowercase,['snowflake']
ssh,82,,,70,,,,,,12,lowercase,['ssh']
statsd,52,,,6,,,,,,46,lowercase,['statsd']
vertica,63,,,28,,2,,,,33,lowercase,['vertica']
webhdfs,23,,,6,,,,,,17,lowercase,['webhdfs']
winrm,44,,,36,,,,,,8,lowercase,['winrm']
zendesk,26,,,6,,,,,,20,lowercase,['zendesk']
all_dbs,12,,,,,,,,,12,lower_case_with_underscores,"['all', 'dbs']"
devel,20,,,,,,,,,20,lowercase,['devel']
devel_minreq,12,,,,,,,,,12,lower_case_with_underscores,"['devel', 'minreq']"
devel_hadoop,15,,,,,,,,,15,lower_case_with_underscores,"['devel', 'hadoop']"
devel_azure,4,,,,,,,,,4,lower_case_with_underscores,"['devel', 'azure']"
devel_all,25,,,,,,,,,25,lower_case_with_underscores,"['devel', 'all']"
devel_ci,12,,,,,,,,,12,lower_case_with_underscores,"['devel', 'ci']"
package,69,,,,,8,4,,,57,lowercase,['package']
do_setup,10,5,,,,,,,,5,lower_case_with_underscores,"['do', 'setup']"
name,9823,21,,,,794,3072,,,5936,lowercase,['name']
description,1154,19,,,,91,397,,,647,lowercase,['description']
long_description_content_type,2,,,,,,2,,,,lower_case_with_underscores,"['long', 'description', 'content', 'type']"
license,10,,,,,,8,,,2,lowercase,['license']
packages,61,,,2,,14,19,,,26,lowercase,['packages']
exclude,7,,,,,,7,,,,lowercase,['exclude']
package_data,58,,,,,3,5,,,50,lower_case_with_underscores,"['package', 'data']"
include_package_data,4,,,,,,4,,,,lower_case_with_underscores,"['include', 'package', 'data']"
zip_safe,4,,,,,,4,,,,lower_case_with_underscores,"['zip', 'safe']"
scripts,6,,,,,,6,,,,lowercase,['scripts']
install_requires,26,,,,,,8,,,18,lower_case_with_underscores,"['install', 'requires']"
setup_requires,2,,,,,,2,,,,lower_case_with_underscores,"['setup', 'requires']"
extras_require,7,,,,,,7,,,,lower_case_with_underscores,"['extras', 'require']"
classifiers,7,,,,,,7,,,,lowercase,['classifiers']
author,28,,,2,,,8,,,18,lowercase,['author']
author_email,8,,,,,,8,,,,lower_case_with_underscores,"['author', 'email']"
url,2376,,,3,,159,272,,,1942,lowercase,['url']
download_url,27,,,,,,5,,,22,lower_case_with_underscores,"['download', 'url']"
cmdclass,6,,,,,,6,,,,lowercase,['cmdclass']
python_requires,5,,,,,,2,,,3,lower_case_with_underscores,"['python', 'requires']"
absolute_import,74,,,74,,,,,,,lower_case_with_underscores,"['absolute', 'import']"
division,60,,,60,,,,,,,lowercase,['division']
print_function,132,,,132,,,,,,,lower_case_with_underscores,"['print', 'function']"
unicode_literals,103,,,103,,,,,,,lower_case_with_underscores,"['unicode', 'literals']"
builtins,111,,,111,,,,,,,lowercase,['builtins']
str,36044,,,36,,,,,,36008,lowercase,['str']
collections,320,,,233,,,,,,87,lowercase,['collections']
OrderedDict,186,,,64,,,,,,122,CapitalizedWords,"['ordered', 'dict']"
copy,656,5,,181,,,,,,470,lowercase,['copy']
future,273,,,19,,24,90,,,140,lowercase,['future']
