name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
params,271,,,,,15,5,,,251,lowercase,['params']
_refresh_token,3,2,,,,,,,,1,lower_case_with_underscores,"['refresh', 'token']"
refresh_token,33,2,,1,,5,9,,,16,lower_case_with_underscores,"['refresh', 'token']"
callable,14,,,,,,,,,14,lowercase,['callable']
token_updater,14,1,,,,2,2,,,9,lower_case_with_underscores,"['token', 'updater']"
hook_type,13,,,,,4,,,,9,lower_case_with_underscores,"['hook', 'type']"
hook,22,,,,,2,,,,20,lowercase,['hook']
compliance_hook,8,,,,,,,,,8,lower_case_with_underscores,"['compliance', 'hook']"
json,192,,,26,,,,,,166,lowercase,['json']
ensure_refresh_token,3,1,,,,,,,,2,lower_case_with_underscores,"['ensure', 'refresh', 'token']"
token_auth,11,,,,,,,,,11,lower_case_with_underscores,"['token', 'auth']"
requests,11,,,7,,,,,,4,lowercase,['requests']
Session,8,,,3,,,,,,5,CapitalizedWords,['session']
rfc7523,7,,,7,,,,,,,lowercase,['rfc7523']
JWTBearerGrant,19,,2,4,,,,,,13,CapitalizedWords,"['jwt', 'bearer', 'grant']"
oauth2_session,3,,,3,,,,,,,lower_case_with_underscores,"['oauth2', 'session']"
OAuth2Auth,5,,1,2,,,,,,2,CapitalizedWords,"['o', 'auth2', 'auth']"
UnsupportedTokenTypeError,13,,2,5,,,,,,6,CapitalizedWords,"['unsupported', 'token', 'type', 'error']"
AssertionToken,2,,1,,,,,,,1,CapitalizedWords,"['assertion', 'token']"
req,62,,,,,12,,,,50,lowercase,['req']
is_expired,6,2,,,,,,,,4,lower_case_with_underscores,"['is', 'expired']"
error,160,,,1,21,6,,,,132,lowercase,['error']
KeyError,4,,,,,,,,,4,CapitalizedWords,"['key', 'error']"
AssertionSession,11,,1,2,,,,,,8,CapitalizedWords,"['assertion', 'session']"
JWT_BEARER_GRANT_TYPE,7,,,,,,,,,7,UPPER_CASE_WITH_UNDERSCORES,"['jwt', 'bearer', 'grant', 'type']"
GRANT_TYPE,27,,,,,,,,,27,UPPER_CASE_WITH_UNDERSCORES,"['grant', 'type']"
ASSERTION_METHODS,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['assertion', 'methods']"
sign,30,8,,,,1,,,,21,lowercase,['sign']
token_url,27,,,,,6,10,,,11,lower_case_with_underscores,"['token', 'url']"
issuer,24,,,,,4,9,,,11,lowercase,['issuer']
subject,19,,,,,3,8,,,8,lowercase,['subject']
audience,19,,,,,3,9,,,7,lowercase,['audience']
grant_type,62,1,,,,14,17,,,30,lower_case_with_underscores,"['grant', 'type']"
claims,137,,,7,,13,4,,,113,lowercase,['claims']
token_placement,13,,,,,4,3,,,6,lower_case_with_underscores,"['token', 'placement']"
scope,126,1,,,,18,36,,,71,lowercase,['scope']
_kwargs,10,,,,,,,,,10,lowercase,['kwargs']
property,30,,,,,,,,,30,lowercase,['property']
set_token,3,1,,,,,,,,2,lower_case_with_underscores,"['set', 'token']"
setter,11,,,,,,,,,11,lowercase,['setter']
generate_assertion,2,,,,,,,,,2,lower_case_with_underscores,"['generate', 'assertion']"
assertion,22,,,2,,2,,,,18,lowercase,['assertion']
withhold_token,7,,,,,2,3,,,2,lower_case_with_underscores,"['withhold', 'token']"
logging,30,,,15,,,,,,15,lowercase,['logging']
oauth1_session,2,,,2,,,,,,,lower_case_with_underscores,"['oauth1', 'session']"
OAuth1Session,28,,1,3,,,,,,24,CapitalizedWords,"['o', 'auth1', 'session']"
OAuth2Session,32,,1,3,,,,,,28,CapitalizedWords,"['o', 'auth2', 'session']"
MissingRequestTokenError,3,,1,1,,,,,,1,CapitalizedWords,"['missing', 'request', 'token', 'error']"
MissingTokenError,5,,1,2,,,,,,2,CapitalizedWords,"['missing', 'token', 'error']"
rfc7636,4,,,4,,,,,,,lowercase,['rfc7636']
create_s256_code_challenge,8,1,,4,,,,,,3,lower_case_with_underscores,"['create', 's256', 'code', 'challenge']"
urlparse,90,,,15,,,,1,,74,lowercase,['urlparse']
