name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
_hyphen,1,,,,,,,,,1,lowercase
_check_buffer,3,1,,,,,,,,2,lower_case_with_underscores
set_live,2,1,,,,,,,,1,lower_case_with_underscores
LiveError,2,,1,,,,,,,1,CapitalizedWords
clear_live,2,1,,,,,,,,1,lower_case_with_underscores
push_render_hook,2,1,,,,,,,,1,lower_case_with_underscores
pop_render_hook,2,1,,,,,,,,1,lower_case_with_underscores
exc_value,30,,,,,5,1,,,24,lower_case_with_underscores
render_result,2,,,,,,,,,2,lower_case_with_underscores
use_theme,3,1,,,,,,,,2,lower_case_with_underscores
_term,2,,,,,,,,,2,lowercase
is_dumb,2,,,,,,,,,2,lower_case_with_underscores
file_descriptor,2,,,,,,,,,2,lower_case_with_underscores
new_size,2,,,,,1,,,,1,lower_case_with_underscores
bell,3,2,,,,,,,,1,lowercase
capture,3,1,,,,,,,,2,lowercase
spinner_style,16,,,,,4,2,,,10,lower_case_with_underscores
status_renderable,2,,,,,,,,,2,lower_case_with_underscores
alt_screen,2,1,,,,,,,,1,lower_case_with_underscores
is_alt_screen,3,1,,,,,,,,2,lower_case_with_underscores
set_window_title,2,1,,,,,,,,1,lower_case_with_underscores
render_iterable,5,,,,,,,,,5,lower_case_with_underscores
text_renderable,2,,,,,,,,,2,lower_case_with_underscores
NotRenderableError,5,,1,,,,,,,4,CapitalizedWords
iter_render,2,,,,,,,,,2,lower_case_with_underscores
_Segment,62,,,,,,,,,62,CapitalizedWords
render_output,4,,,,,,,,,4,lower_case_with_underscores
render_options,37,,,,,,,,,37,lower_case_with_underscores
_rendered,4,,,,,,,,,4,lowercase
render_height,7,,,,,,,,,7,lower_case_with_underscores
split_and_crop_lines,5,1,,,,,,,,4,lower_case_with_underscores
include_new_lines,3,,,,,1,1,,,1,lower_case_with_underscores
extra_lines,28,,,,,4,4,,,20,lower_case_with_underscores
pad_line,2,,,,,,,,,2,lower_case_with_underscores
emoji_enabled,3,,,,,,,,,3,lower_case_with_underscores
markup_enabled,2,,,,,,,,,2,lower_case_with_underscores
highlight_enabled,2,,,,,,,,,2,lower_case_with_underscores
rich_text,7,,,,,,,,,7,lower_case_with_underscores
default_variant,5,,,,,1,2,,,2,lower_case_with_underscores
_highlighter,8,,,,,,,,,8,lowercase
highlight_text,7,,,,,,,,,7,lower_case_with_underscores
copy_styles,2,1,,,,,,,,1,lower_case_with_underscores
StyleSyntaxError,8,,1,,,,,,,7,CapitalizedWords
MissingStyle,2,,1,,,,,,,1,CapitalizedWords
_collect_renderables,3,1,,,,,,,,2,lower_case_with_underscores
objects,14,,,,,5,,,,9,lowercase
_append,7,,,,,,,,,7,lowercase
append_text,7,1,,,,,,,,6,lower_case_with_underscores
align_append,2,1,,,,,,,,1,lower_case_with_underscores
check_text,4,1,,,,,,,,3,lower_case_with_underscores
sep_text,2,,,,,,,,,2,lower_case_with_underscores
Rule,9,,1,3,,,,,,5,CapitalizedWords
_control,4,,,,,,,,,4,lowercase
raw_output,2,,,,,,,,,2,lower_case_with_underscores
_object,35,,,,,18,,,,17,lowercase
new_line_start,3,,,,,1,1,,,1,lower_case_with_underscores
render_hooks,4,,,,,,,,,4,lower_case_with_underscores
new_segments,9,,,,,,,,,9,lower_case_with_underscores
buffer_extend,4,,,,,,,,,4,lower_case_with_underscores
skip_keys,12,,,,,4,3,,,5,lower_case_with_underscores
check_circular,14,,,,,4,5,,,5,lower_case_with_underscores
JSON,5,,1,1,,,,,,3,UPPERCASE
json_renderable,3,,,,,,,,,3,lower_case_with_underscores
from_data,2,1,,,,,,,,1,lower_case_with_underscores
update_screen,1,1,,,,,,,,,lower_case_with_underscores
NoAltScreen,3,,1,,,,,,,2,CapitalizedWords
update_screen_lines,3,1,,,,,,,,2,lower_case_with_underscores
screen_update,2,,,,,,,,,2,lower_case_with_underscores
print_exception,2,1,,,,,,,,1,lower_case_with_underscores
word_wrap,28,,,,,6,8,,,14,lower_case_with_underscores
max_frames,16,,,,,4,3,,,9,lower_case_with_underscores
_caller_frame_info,2,1,,,,,,,,1,lower_case_with_underscores
currentframe,3,,,,,1,,,,2,lowercase
co_filename,3,,,,,,,,,3,lower_case_with_underscores
f_lineno,1,,,,,,,,,1,lower_case_with_underscores
frame_info,4,,,,,,,,,4,lower_case_with_underscores
log_locals,2,,,,,1,,,,1,lower_case_with_underscores
_stack_offset,2,,,,,1,,,,1,lower_case_with_underscores
line_no,35,,,,,1,2,,,32,lower_case_with_underscores
link_path,9,,,,,1,2,,,6,lower_case_with_underscores
locals_map,2,,,,,,,,,2,lower_case_with_underscores
use_legacy_windows_render,3,,,,,,,,,3,lower_case_with_underscores
_win32_console,3,,,3,,,,,,,lower_case_with_underscores
LegacyWindowsTerm,6,,1,2,,,,,,3,CapitalizedWords
_windows_renderer,1,,,1,,,,,,,lower_case_with_underscores
legacy_windows_render,3,1,,1,,,,,,1,lower_case_with_underscores
remove_color,3,1,,,,,,,,2,lower_case_with_underscores
not_terminal,2,,,,,,,,,2,lower_case_with_underscores
