name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
long_description,7,,,,,,3,,,4,lower_case_with_underscores,"['long', 'description']"
description,30,,,,,3,8,,,19,lowercase,['description']
license,5,,,,,,3,,,2,lowercase,['license']
classifiers,6,,,,,,3,,,3,lowercase,['classifiers']
url,973,2,,6,,148,26,,,791,lowercase,['url']
keywords,5,,,,,,3,,,2,lowercase,['keywords']
project_urls,7,,,,,1,2,,,4,lower_case_with_underscores,"['project', 'urls']"
author,12,,,,,,5,,,7,lowercase,['author']
author_email,3,,,,,,3,,,,lower_case_with_underscores,"['author', 'email']"
package_dir,11,,,,,,1,,,10,lower_case_with_underscores,"['package', 'dir']"
packages,208,1,,32,,6,16,,,153,lowercase,['packages']
where,12,1,,4,,,1,,,6,lowercase,['where']
exclude,12,,,,,2,5,,,5,lowercase,['exclude']
package_data,3,,,1,,,2,,,,lower_case_with_underscores,"['package', 'data']"
entry_points,15,,,,,,7,,,8,lower_case_with_underscores,"['entry', 'points']"
version_info,137,,,,,7,12,,,118,lower_case_with_underscores,"['version', 'info']"
zip_safe,3,,,,,,3,,,,lower_case_with_underscores,"['zip', 'safe']"
python_requires,4,,,,,1,2,,,1,lower_case_with_underscores,"['python', 'requires']"
optparse,32,,,17,,,,,,15,lowercase,['optparse']
textwrap,145,,,35,,,,,,110,lowercase,['textwrap']
dedent,138,,,10,,,,,,128,lowercase,['dedent']
docutils,3,,,3,,,,,,,lowercase,['docutils']
nodes,4,,,1,,,,,,3,lowercase,['nodes']
parsers,4,,,1,,,,,,3,lowercase,['parsers']
rst,4,,,1,,,,,,3,lowercase,['rst']
statemachine,1,,,1,,,,,,,lowercase,['statemachine']
ViewList,3,,,1,,,,,,2,CapitalizedWords,"['view', 'list']"
pip,1659,3,,1037,,,,,,619,lowercase,['pip']
_internal,775,,,761,,,,,,14,lowercase,['internal']
cli,67,,,67,,,,,,,lowercase,['cli']
cmdoptions,113,,,16,,,,,,97,lowercase,['cmdoptions']
commands,27,,,15,,,,,,12,lowercase,['commands']
create_command,27,1,,9,,,,,,17,lower_case_with_underscores,"['create', 'command']"
PipCommandUsage,2,,1,,,,,,,1,CapitalizedWords,"['pip', 'command', 'usage']"
Directive,3,,,,,,,,,3,CapitalizedWords,['directive']
required_arguments,4,,,,,,,,,4,lower_case_with_underscores,"['required', 'arguments']"
cmd,92,,,1,,8,1,,,82,lowercase,['cmd']
usage,21,,,,,1,,,,20,lowercase,['usage']
strip,168,,,,,3,1,,,164,lowercase,['strip']
replace,153,1,,2,,3,4,,,143,lowercase,['replace']
node,260,,,,,31,,,,229,lowercase,['node']
literal_block,1,,,,,,,,,1,lower_case_with_underscores,"['literal', 'block']"
PipCommandDescription,2,,1,,,,,,,1,CapitalizedWords,"['pip', 'command', 'description']"
paragraph,2,,,,,,,,,2,lowercase,['paragraph']
document,32,,,,,1,,,,31,lowercase,['document']
state,330,2,,,,8,2,,,318,lowercase,['state']
desc,9,,,,,1,2,,,6,lowercase,['desc']
nested_parse,2,,,,,,,,,2,lower_case_with_underscores,"['nested', 'parse']"
PipOptions,4,,1,,,,,,,3,CapitalizedWords,"['pip', 'options']"
_format_option,2,1,,,,,,,,1,lower_case_with_underscores,"['format', 'option']"
option,95,,,,,17,5,,,73,lowercase,['option']
cmd_name,22,,,,,2,2,,,18,lower_case_with_underscores,"['cmd', 'name']"
bookmark_line,3,,,,,,,,,3,lower_case_with_underscores,"['bookmark', 'line']"
_long_opts,10,,,,,,,,,10,lower_case_with_underscores,"['long', 'opts']"
_short_opts,7,,,,,,,,,7,lower_case_with_underscores,"['short', 'opts']"
takes_value,2,,,,,,,,,2,lower_case_with_underscores,"['takes', 'value']"
metavar,41,,,,,,32,,,9,lowercase,['metavar']
lower,184,,,,,,,,,184,lowercase,['lower']
dest,251,,,,,37,90,,,124,lowercase,['dest']
opt_help,4,,,,,,,,,4,lower_case_with_underscores,"['opt', 'help']"
help,112,,,,,,107,,,5,lowercase,['help']
str,755,,,4,,,,,,751,lowercase,['str']
default,171,,,,,17,79,,,75,lowercase,['default']
prefix,320,,,,,43,24,,,253,lowercase,['prefix']
_format_options,4,1,,,,,,,,3,lower_case_with_underscores,"['format', 'options']"
SUPPRESS_HELP,12,,,2,,,,,,10,UPPER_CASE_WITH_UNDERSCORES,"['suppress', 'help']"
view_list,3,,,,,,,,,3,lower_case_with_underscores,"['view', 'list']"
process_options,4,3,,,,,,,,1,lower_case_with_underscores,"['process', 'options']"
PipGeneralOptions,2,,1,,,,,,,1,CapitalizedWords,"['pip', 'general', 'options']"
o,72,,,,,15,,,,57,b,['o']
general_group,4,,,,,,,,,4,lower_case_with_underscores,"['general', 'group']"
PipIndexOptions,2,,1,,,,,,,1,CapitalizedWords,"['pip', 'index', 'options']"
index_group,7,,,,,,,,,7,lower_case_with_underscores,"['index', 'group']"
PipCommandOptions,2,,1,,,,,,,1,CapitalizedWords,"['pip', 'command', 'options']"
option_list,5,,,,,,,,,5,lower_case_with_underscores,"['option', 'list']"
option_groups,5,,,,,,,,,5,lower_case_with_underscores,"['option', 'groups']"
parser,555,,,9,,35,1,,,510,lowercase,['parser']
app,9,,,,,1,1,,,7,lowercase,['app']
add_directive,5,,,,,,,,,5,lower_case_with_underscores,"['add', 'directive']"
re,408,,,69,,2,,,,337,lowercase,['re']
on_rtd,1,,,,,,,,,1,lower_case_with_underscores,"['on', 'rtd']"
get,427,21,,1,,,,,,405,lowercase,['get']
environ,184,,,,,3,,,,181,lowercase,['environ']
docs_dir,4,,,,,,,,,4,lower_case_with_underscores,"['docs', 'dir']"
insert,32,1,,,,1,,,,30,lowercase,['insert']
extensions,18,,,1,,3,,,,14,lowercase,['extensions']
intersphinx_cache_limit,1,,,,,,,,,1,lower_case_with_underscores,"['intersphinx', 'cache', 'limit']"
intersphinx_mapping,1,,,,,,,,,1,lower_case_with_underscores,"['intersphinx', 'mapping']"
templates_path,1,,,,,,,,,1,lower_case_with_underscores,"['templates', 'path']"
source_suffix,1,,,,,,,,,1,lower_case_with_underscores,"['source', 'suffix']"
