name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
test_custom_object_scope_correct_class,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'custom', 'object', 'scope', 'correct', 'class']"
func_that_returns_one,2,1,,,,,,,,1,lower_case_with_underscores,"['func', 'that', 'returns', 'one']"
ALLOWLIST_FORMATS,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES,"['allowlist', 'formats']"
image_dataset_from_directory,33,1,,1,,,,,,31,lower_case_with_underscores,"['image', 'dataset', 'from', 'directory']"
image_size,33,,,,,3,22,,,8,lower_case_with_underscores,"['image', 'size']"
image_paths,13,,,,,1,3,,,9,lower_case_with_underscores,"['image', 'paths']"
image_paths_train,4,,,,,,,,,4,lower_case_with_underscores,"['image', 'paths', 'train']"
image_paths_val,4,,,,,,,,,4,lower_case_with_underscores,"['image', 'paths', 'val']"
img_ds,4,,,,,,,,,4,lower_case_with_underscores,"['img', 'ds']"
load_image,2,1,,,,,,,,1,lower_case_with_underscores,"['load', 'image']"
decode_image,1,,,,,,,,,1,lower_case_with_underscores,"['decode', 'image']"
expand_animations,1,,,,,,1,,,,lower_case_with_underscores,"['expand', 'animations']"
ImageDatasetFromDirectoryTest,1,,1,,,,,,,,CapitalizedWords,"['image', 'dataset', 'from', 'directory', 'test']"
_get_images,3,1,,,,,,,,2,lower_case_with_underscores,"['get', 'images']"
imgs,3,,,,,,,,,3,lowercase,['imgs']
test_image_dataset_from_directory_standalone,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'standalone']"
test_image_dataset_from_directory_binary,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'binary']"
test_image_dataset_from_directory_multiclass,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'multiclass']"
test_image_dataset_from_directory_color_modes,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'color', 'modes']"
