name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
substr,15,,,,,,,,,15,lowercase
test_export_discontiguous,1,1,,,,,,,,,lower_case_with_underscores
edge_test4,3,,,,,,,,,3,lower_case_with_underscores
TestFFTFreq,1,,1,,,,,,,,CapitalizedWords
txt,18,,,,,,,,,18,lowercase
dma_2,2,,,,,,,,,2,lower_case_with_underscores
edge_test1,3,,,,,,,,,3,lower_case_with_underscores
unit,48,,,,,,25,,,23,lowercase
edge_test3,3,,,,,,,,,3,lower_case_with_underscores
test_blasdot_uninitialized_memory,1,1,,,,,,,,,lower_case_with_underscores
get_vendor_string,2,1,,,,,,,,1,lower_case_with_underscores
_check,22,1,,,,,,,,21,lowercase
_do_init,2,1,,,,,,,,1,lower_case_with_underscores
test_fillvalue_bytes_or_str,1,1,,,,,,,,,lower_case_with_underscores
subpath,19,,,,,,,,,19,lowercase
get_swig_modulename,2,1,,,,,,,,1,lower_case_with_underscores
_handyman,10,,,,,,,,,10,lowercase
tokenize,23,,,3,,,,,,20,lowercase
c_intp,2,,,,,,,1,,1,lower_case_with_underscores
cPickle,5,,,5,,,,,,,mixedCase
notin,6,,,,,,,,,6,lowercase
isatty,1,,,,,,,,,1,lowercase
_file_openers,9,,,,,,,,,9,lower_case_with_underscores
_nanmedian_small,2,1,,,,,,,,1,lower_case_with_underscores
TestMatmulOperator,1,,1,,,,,,,,CapitalizedWords
test_failed_len_sequence,1,1,,,,,,,,,lower_case_with_underscores
testConstructor0,3,3,,,,,,,,,mixedCase
testConstructor1,4,4,,,,,,,,,mixedCase
testConstructor2,4,4,,,,,,,,,mixedCase
legder,12,1,,,,,,,,11,lowercase
test_norm_object_array,1,1,,,,,,,,,lower_case_with_underscores
unpack,7,,,,,,1,,,6,lowercase
mA2,3,,,,,,,,,3,mixedCase
writelines,9,1,,,,,,,,8,lowercase
assert_dtype_not_equal,16,1,,,,,,,,15,lower_case_with_underscores
test_eigh_build,1,1,,,,,,,,,lower_case_with_underscores
test_polyone,1,1,,,,,,,,,lower_case_with_underscores
betain,6,,,,,,,,,6,lowercase
load_data,3,1,,,,,,,,2,lower_case_with_underscores
true_divide,18,,,,,,,,,18,lower_case_with_underscores
mrecords,5,,,5,,,,,,,lowercase
OutOfHeader,3,1,,,,,,,,2,CapitalizedWords
get_data_files,6,1,,3,,,,,,2,lower_case_with_underscores
drop_fields,10,1,,1,,,,,,8,lower_case_with_underscores
check_function,28,8,,,,,,,,20,lower_case_with_underscores
atlas_extra_info,6,,,,,,,,,6,lower_case_with_underscores
test_mask_size,1,1,,,,,,,,,lower_case_with_underscores
isLabel,2,1,,,,,,,,1,mixedCase
nanargmin,3,1,,,,,,,,2,lowercase
La,7,,,,,,,,,7,CapitalizedWords
extint_gt_128,1,,,,,,,,,1,lower_case_with_underscores
dsum,2,,,,,,,,,2,lowercase
want,10,,,,,,,,,10,lowercase
out_array,4,,,,,,,,,4,lower_case_with_underscores
msg1,2,,,,,,,,,2,lowercase
test_1d_with_missing,2,2,,,,,,,,,lower_case_with_underscores
test_invalid_array,1,1,,,,,,,,,lower_case_with_underscores
absolute,57,,,7,,,,,,50,lowercase
indention,3,,,,,,,,,3,lowercase
AllocationTracker,2,,1,,,,,,,1,CapitalizedWords
unmasked,3,,,,,,,,,3,lowercase
matmul,45,,,1,,,,,,44,lowercase
machine,9,,,,,,1,,,8,lowercase
a_obj,7,,,,,,,,,7,lower_case_with_underscores
bfmt,10,,,,,,,,,10,lowercase
SourceFiles,2,,1,,,,,,,1,CapitalizedWords
_is_32bit,1,1,,,,,,,,,lower_case_with_underscores
A,606,,19,,,,,,,587,B
badnames,5,,,,,,,,,5,lowercase
legcompanion,7,1,,,,,,,,6,lowercase
test_fast_power,1,1,,,,,,,,,lower_case_with_underscores
L6,4,,,,,,,,,4,UPPERCASE
L7,2,,,,,,,,,2,UPPERCASE
L4,4,,,,,,,,,4,UPPERCASE
test_gt_128,1,1,,,,,,,,,lower_case_with_underscores
