name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
is_dirty,1,,,,,,,,,1,lower_case_with_underscores,"['is', 'dirty']"
write_version,2,1,,,,,,,,1,lower_case_with_underscores,"['write', 'version']"
filename,263,,,,,33,67,,,163,lowercase,['filename']
text,99,,,15,,5,3,,,76,lowercase,['text']
open,144,,,,,,1,,,143,lowercase,['open']
write,64,5,,1,,,,,,58,lowercase,['write']
async_packages,2,,,,,,,,,2,lower_case_with_underscores,"['async', 'packages']"
atlas,2,,,,,,,,,2,lowercase,['atlas']
celery,10,,,8,,,,,,2,lowercase,['celery']
cgroups,10,,,,,,,,,10,lowercase,['cgroups']
dask,2,,,,,,,,,2,lowercase,['dask']
deprecated_api,2,,,,,,,,,2,lower_case_with_underscores,"['deprecated', 'api']"
doc,19,1,,,,4,,,,14,lowercase,['doc']
flask_appbuilder_oauth,3,,,,,,,,,3,lower_case_with_underscores,"['flask', 'appbuilder', 'oauth']"
kerberos,22,1,,4,,,,,,17,lowercase,['kerberos']
kubernetes,92,,,88,,,,,,4,lowercase,['kubernetes']
ldap,37,,,1,,3,,,,33,lowercase,['ldap']
leveldb,4,,,2,,,,,,2,lowercase,['leveldb']
pandas,23,,,12,,,,,,11,lowercase,['pandas']
password,295,1,,,,18,42,,,234,lowercase,['password']
rabbitmq,2,,,,,,,,,2,lowercase,['rabbitmq']
sentry,7,,,5,,,,,,2,lowercase,['sentry']
statsd,11,,,1,,,,,,10,lowercase,['statsd']
virtualenv,5,,,,,,,,,5,lowercase,['virtualenv']
webhdfs,4,,,1,,,,,,3,lowercase,['webhdfs']
mypy_dependencies,2,,,,,,,,,2,lower_case_with_underscores,"['mypy', 'dependencies']"
devel_only,2,,,,,,,,,2,lower_case_with_underscores,"['devel', 'only']"
get_provider_dependencies,5,1,,,,,,,,4,lower_case_with_underscores,"['get', 'provider', 'dependencies']"
provider_name,21,,,,,2,,,,19,lower_case_with_underscores,"['provider', 'name']"
get_unique_dependency_list,5,1,,,,,,,,4,lower_case_with_underscores,"['get', 'unique', 'dependency', 'list']"
req_list_iterable,2,,,,,1,,,,1,lower_case_with_underscores,"['req', 'list', 'iterable']"
_all_reqs,3,,,,,,,,,3,lower_case_with_underscores,"['all', 'reqs']"
set,369,5,,,,,,,,364,lowercase,['set']
