name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
print_function,1,,,1,,,,,,,lower_case_with_underscores
os,337,,,63,,,,,,274,lowercase
path,373,,,18,,12,4,,,339,lowercase
warnings,2,,,1,,,,,,1,lowercase
sys,169,,,41,,,,,,128,lowercase
setuptools,1,,,1,,,,,,,lowercase
setup,3,,,2,,,,,,1,lowercase
setuptools_available,3,,,,,,,,,3,lower_case_with_underscores
ImportError,20,,,,,,,,,20,CapitalizedWords
distutils,1,,,1,,,,,,,lowercase
core,1,,,1,,,,,,,lowercase
py2exe,1,,,1,,,,,,,lowercase
len,197,,,,,,,,,197,lowercase
argv,23,,,,,3,,,,20,lowercase
print,22,,,,,,,,,22,lowercase
file,4,,,,,,1,,,3,lowercase
stderr,27,,,,,,10,,,17,lowercase
exit,11,,,,,,,,,11,lowercase
py2exe_options,2,,,,,,,,,2,lower_case_with_underscores
py2exe_console,2,,,,,,,,,2,lower_case_with_underscores
py2exe_params,2,,,,,,,,,2,lower_case_with_underscores
params,306,,,,,3,1,,,302,lowercase
files_spec,2,,,,,,,,,2,lower_case_with_underscores
root,4,,,,,,,,,4,lowercase
dirname,61,,,3,,,,,,58,lowercase
abspath,34,,,,,,,,,34,lowercase
data_files,3,,,,,,,,,3,lower_case_with_underscores
files,15,,,,,,,,,15,lowercase
resfiles,3,,,,,,,,,3,lowercase
fn,51,,,,,3,,,,48,lowercase
exists,24,,,,,,,,,24,lowercase
warn,1,,,,,,,,,1,lowercase
append,327,,,,,,,,,327,lowercase
exec,1,,,,,,,,,1,lowercase
compile,9,,,,,,,,,9,lowercase
read,59,1,,,,,,,,58,lowercase
open,61,,,,,,,,,61,lowercase
name,150,,,,,23,2,,,125,lowercase
version,36,,,4,,1,1,,,30,lowercase
description,307,,,,,1,1,,,305,lowercase
long_description,1,,,,,,1,,,,lower_case_with_underscores
url,1827,,,,,540,1,,,1286,lowercase
author,14,,,,,,1,,,13,lowercase
author_email,1,,,,,,1,,,,lower_case_with_underscores
maintainer,1,,,,,,1,,,,lowercase
maintainer_email,1,,,,,,1,,,,lower_case_with_underscores
packages,1,,,,,,1,,,,lowercase
classifiers,1,,,,,,1,,,,lowercase
unicode_literals,479,,,479,,,,,,,lower_case_with_underscores
dirn,9,,,,,,,3,,6,lowercase
youtube_dl,48,,,35,,,,,,13,lower_case_with_underscores
BASH_COMPLETION_FILE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
BASH_COMPLETION_TEMPLATE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
build_completion,6,3,,,,,,,,3,lower_case_with_underscores
opt_parser,6,,,,,3,,,,3,lower_case_with_underscores
opts_flag,3,,,,,,,,,3,lower_case_with_underscores
group,878,,,,,2,3,,,873,lowercase
option_groups,3,,,,,,,,,3,lower_case_with_underscores
option,17,,,,,2,,,,15,lowercase
option_list,3,,,,,,,,,3,lower_case_with_underscores
get_opt_string,3,,,,,,,,,3,lower_case_with_underscores
f,263,,,,,14,,,,249,b
template,39,,,,,,,,,39,lowercase
filled_template,4,,,,,,,,,4,lower_case_with_underscores
replace,119,,,,,,,,,119,lowercase
join,104,,,,,,,,,104,lowercase
write,44,1,,,,,,,,43,lowercase
parser,63,,,1,,1,,,,61,lowercase
parseOpts,6,1,,1,,,,,,4,mixedCase
http,5,,,5,,,,,,,lowercase
server,11,,,1,,,,,,10,lowercase
HTTPServer,2,,,1,,,,,,1,CapitalizedWords
BaseHTTPRequestHandler,2,,,1,,,,,,1,CapitalizedWords
socketserver,1,,,1,,,,,,,lowercase
ThreadingMixIn,2,,,1,,,,,,1,CapitalizedWords
argparse,2,,,1,,,,,,1,lowercase
ctypes,84,,,6,,,,,,78,lowercase
functools,5,,,2,,,,,,3,lowercase
threading,3,,,1,,,,,,2,lowercase
traceback,28,,,6,,1,,,,21,lowercase
BuildHTTPServer,2,,1,,,,,,,1,CapitalizedWords
allow_reuse_address,1,,,,,,,,,1,lower_case_with_underscores
advapi32,16,,,,,,,,,16,lowercase
windll,8,,,,,,,,,8,lowercase
SC_MANAGER_ALL_ACCESS,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
SC_MANAGER_CREATE_SERVICE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
SERVICE_WIN32_OWN_PROCESS,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
SERVICE_AUTO_START,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
SERVICE_ERROR_NORMAL,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
DELETE,2,,,,,,,,,2,UPPERCASE
SERVICE_STATUS_START_PENDING,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
SERVICE_STATUS_RUNNING,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
SERVICE_ACCEPT_STOP,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
SVCNAME,4,,,,,,,,,4,UPPERCASE
LPTSTR,4,,,,,,,,,4,UPPERCASE
c_wchar_p,2,,,,,,,,,2,lower_case_with_underscores
START_CALLBACK,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
WINFUNCTYPE,6,,,,,,,,,6,UPPERCASE
c_int,4,,,,,,,,,4,lower_case_with_underscores
POINTER,5,,,,,,,,,5,UPPERCASE
SERVICE_TABLE_ENTRY,4,,1,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
Structure,2,,,,,,,,,2,CapitalizedWords
_fields_,2,,,,,,,,,2,lowercase
HandlerEx,2,,,,,,,,,2,CapitalizedWords
c_void_p,2,,,,,,,,,2,lower_case_with_underscores
_ctypes_array,3,1,,,,,,,,2,lower_case_with_underscores
c_type,2,,,,,1,,,,1,lower_case_with_underscores
py_array,3,,,,,1,,,,2,lower_case_with_underscores
ar,3,,,,,,,,,3,lowercase
win_OpenSCManager,3,1,,,,,,,,2,camel_Snake_Case
res,217,,,,,,1,,,216,lowercase
OpenSCManagerW,1,,,,,,,,,1,CapitalizedWords
Exception,22,,,,,,,,,22,CapitalizedWords
win_install_service,2,1,,,,,,,,1,lower_case_with_underscores
service_name,15,,,,,5,,,,10,lower_case_with_underscores
cmdline,4,,,,,1,,,,3,lowercase
manager,6,,,,,,,,,6,lowercase
h,27,,,,,,,,,27,b
