name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
categoricalFeaturesInfo,27,,,,,,7,,,20,mixedCase,"['categorical', 'features', 'info']"
pyUDT,4,,,,,,,,,4,mixedCase,"['py', 'ud', 't']"
spark_local_dirs,3,,,,,,,,,3,lower_case_with_underscores,"['spark', 'local', 'dirs']"
VectorTransformer,3,,1,,,,,,,2,CapitalizedWords,"['vector', 'transformer']"
classification,5,,,4,,,,,,1,lowercase,['classification']
_partitionFunc,6,,,,,,,,,6,mixedCase,"['partition', 'func']"
_test,28,14,,,,,,,,14,lowercase,['test']
asJavaRDD,1,,,,,,,,,1,mixedCase,"['as', 'java', 'rd', 'd']"
replace,11,,,,,,,,,11,lowercase,['replace']
test_large_broadcast,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'large', 'broadcast']"
RELEASE_VERSION,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES,"['release', 'version']"
comb,12,,,,,,,,,12,lowercase,['comb']
counts,12,,,,,,,,,12,lowercase,['counts']
total,7,,,,,,,,,7,lowercase,['total']
_type_mappings,2,,,,,,,,,2,lower_case_with_underscores,"['type', 'mappings']"
newAPIHadoopFile,9,1,,,,,,,,8,mixedCase,"['new', 'api', 'hadoop', 'file']"
_heapq,4,,,4,,,,,,,lowercase,['heapq']
partsScanned,10,,,,,,,,,10,mixedCase,"['parts', 'scanned']"
_do_init,2,1,,,,,,,,1,lower_case_with_underscores,"['do', 'init']"
getrecursionlimit,2,,,,,,,,,2,lowercase,['getrecursionlimit']
GPG_CMD,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES,"['gpg', 'cmd']"
_instances,4,,,,,,,,,4,lowercase,['instances']
call,21,2,,,,,,,,19,lowercase,['call']
ChiSqTestResult,3,,1,,,,,,,2,CapitalizedWords,"['chi', 'sq', 'test', 'result']"
m2,12,,,,,,,,,12,lowercase,['m2']
HashingTF,1,,1,,,,,,,,CapitalizedWords,"['hashing', 't', 'f']"
type,65,,,,,,11,,,54,lowercase,['type']
tell,2,,,,,,,,,2,lowercase,['tell']
is_release,2,1,,,,,,,,1,lower_case_with_underscores,"['is', 'release']"
cPickle,10,,,3,,,,,,7,mixedCase,"['c', 'pickle']"
sortPartition,5,2,,,,,,,,3,mixedCase,"['sort', 'partition']"
isatty,2,,,,,,,,,2,lowercase,['isatty']
