name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
check_file,12,2,,,,,,,,10,lower_case_with_underscores,"['check', 'file']"
f,2226,121,,,,158,2,,,1945,b,['f']
bool,1603,1,,,,,,,,1602,lowercase,['bool']
check_pydep,2,1,,,,,,,,1,lower_case_with_underscores,"['check', 'pydep']"
build_python,7,,,,,2,2,,,3,lower_case_with_underscores,"['build', 'python']"
rerun_cmake,4,,,,,1,2,,,1,lower_case_with_underscores,"['rerun', 'cmake']"
cmake_only,4,,,,,1,2,,,1,lower_case_with_underscores,"['cmake', 'only']"
sym_files,2,,,,,,,,,2,lower_case_with_underscores,"['sym', 'files']"
orig_files,2,,,,,,,,,2,lower_case_with_underscores,"['orig', 'files']"
sym_file,5,,,,,,,,,5,lower_case_with_underscores,"['sym', 'file']"
orig_file,3,,,,,,,,,3,lower_case_with_underscores,"['orig', 'file']"
zip,648,,,,,,,,,648,lowercase,['zip']
same,3,,,,,,,,,3,lowercase,['same']
cmp,1,,,,,,,,,1,lowercase,['cmp']
remove,113,5,,,,,,,,108,lowercase,['remove']
copyfile,2,,,,,,,,,2,lowercase,['copyfile']
install_requires,4,,,,,,1,,,3,lower_case_with_underscores,"['install', 'requires']"
missing_pydep,2,,,,,,,,,2,lower_case_with_underscores,"['missing', 'pydep']"
strip,126,1,,,,,,,,125,lowercase,['strip']
importname,4,,,,,1,1,,,2,lowercase,['importname']
module,1715,33,,23,,193,13,,,1453,lowercase,['module']
import_module,55,4,,2,,1,,,,48,lower_case_with_underscores,"['import', 'module']"
ImportError,97,,,,,,,,,97,CapitalizedWords,"['import', 'error']"
RuntimeError,2698,,,,,,,,,2698,CapitalizedWords,"['runtime', 'error']"
_embed_libiomp,2,1,,,,,,,,1,lower_case_with_underscores,"['embed', 'libiomp']"
lib_dir,13,,,,,,,,,13,lower_case_with_underscores,"['lib', 'dir']"
build_lib,7,,,,,,,,,7,lower_case_with_underscores,"['build', 'lib']"
libtorch_cpu_path,3,,,,,,,,,3,lower_case_with_underscores,"['libtorch', 'cpu', 'path']"
otool_cmds,4,,,,,,,,,4,lower_case_with_underscores,"['otool', 'cmds']"
split,447,7,,,,6,5,,,429,lowercase,['split']
decode,82,6,,,,,,,,76,lowercase,['decode']
check_output,36,1,,1,,,,,,34,lower_case_with_underscores,"['check', 'output']"
rpaths,3,,,,,,,,,3,lowercase,['rpaths']
libs,3,,,,,,,,,3,lowercase,['libs']
idx,939,,,,,69,1,,,869,lowercase,['idx']
line,241,,,,,7,1,,,233,lowercase,['line']
lib_name,5,,,,,,,,,5,lower_case_with_underscores,"['lib', 'name']"
startswith,228,,,,,,,,,228,lowercase,['startswith']
rsplit,25,,,,,,,,,25,lowercase,['rsplit']
rpath,5,,,,,,,,,5,lowercase,['rpath']
omp_lib_name,4,,,,,,,,,4,lower_case_with_underscores,"['omp', 'lib', 'name']"
source_lib,3,,,,,,,,,3,lower_case_with_underscores,"['source', 'lib']"
target_lib,5,,,,,,,,,5,lower_case_with_underscores,"['target', 'lib']"
copy_file,3,,,,,,,,,3,lower_case_with_underscores,"['copy', 'file']"
run,868,60,,2,,1,,,,805,lowercase,['run']
cmake_cache_vars,24,,,,,,,,,24,lower_case_with_underscores,"['cmake', 'cache', 'vars']"
get_cmake_cache_variables,3,1,,,,,,,,2,lower_case_with_underscores,"['get', 'cmake', 'cache', 'variables']"
system_c_flags,2,,,,,,,,,2,lower_case_with_underscores,"['system', 'c', 'flags']"
get,743,15,,,,,,,,728,lowercase,['get']
environ,273,,,,,,,,,273,lowercase,['environ']
build_temp,3,,,,,,,,,3,lower_case_with_underscores,"['build', 'temp']"
ext_filename,8,,,,,,,,,8,lower_case_with_underscores,"['ext', 'filename']"
get_ext_filename,4,1,,,,,,,,3,lower_case_with_underscores,"['get', 'ext', 'filename']"
lib_filename,2,,,,,,,,,2,lower_case_with_underscores,"['lib', 'filename']"
export_lib,2,,,,,,,,,2,lower_case_with_underscores,"['export', 'lib']"
replace,194,4,,,,1,14,,,175,lowercase,['replace']
target_dir,22,,,,,5,,,,17,lower_case_with_underscores,"['target', 'dir']"
makedirs,49,1,,,,,,,,48,lowercase,['makedirs']
build_extensions,4,2,,,,,,,,2,lower_case_with_underscores,"['build', 'extensions']"
create_compile_commands,2,1,,,,,,,,1,lower_case_with_underscores,"['create', 'compile', 'commands']"
caffe2_pybind_exts,2,,,,,,,,,2,lower_case_with_underscores,"['caffe2', 'pybind', 'exts']"
len,3826,,,,,1,,,,3825,lowercase,['len']
extensions,22,,,,,3,1,,,18,lowercase,['extensions']
ext,29,,,1,,2,,,,26,lowercase,['ext']
name,5749,13,,,,540,640,,,4556,lowercase,['name']
fullname,183,,,,,1,164,,,18,lowercase,['fullname']
get_ext_fullname,1,,,,,,,,,1,lower_case_with_underscores,"['get', 'ext', 'fullname']"
filename,366,,,,,56,25,,,285,lowercase,['filename']
src,549,,,,,47,24,,,478,lowercase,['src']
dst,424,,,,,51,28,,,345,lowercase,['dst']
realpath,66,,,,,,,,,66,lowercase,['realpath']
dst_dir,5,,,,,,,,,5,lower_case_with_underscores,"['dst', 'dir']"
get_outputs,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'outputs']"
outputs,1288,1,,,,92,112,,,1083,lowercase,['outputs']
load,330,11,,2,,,,,,317,lowercase,['load']
open,329,1,,,,,,,,328,lowercase,['open']
ninja_files,2,,,,,,,,,2,lower_case_with_underscores,"['ninja', 'files']"
cmake_files,2,,,,,,,,,2,lower_case_with_underscores,"['cmake', 'files']"
all_commands,3,,,,,,,,,3,lower_case_with_underscores,"['all', 'commands']"
entry,61,,,,,1,,,,60,lowercase,['entry']
new_contents,3,,,,,,,,,3,lower_case_with_underscores,"['new', 'contents']"
