name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
os,821,,,94,,,,,,727,lowercase
shutil,55,,,19,,,,,,36,lowercase
sys,360,,,83,,,,,,277,lowercase
time,90,,,21,,1,,,,68,lowercase
fnmatch,6,,,2,,,,,,4,lowercase
tempfile,40,,,18,,,,,,22,lowercase
tarfile,6,,,3,,,,,,3,lowercase
optparse,3,,,2,,,,,,1,lowercase
distutils,32,,,26,,,,,,6,lowercase
log,150,,,2,,2,11,,,135,lowercase
site,1,,,1,,,,,,,lowercase
USER_SITE,4,,,1,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
ImportError,121,,,,,,,,,121,CapitalizedWords
subprocess,164,,,35,,,,1,,128,lowercase
_python_cmd,4,2,,,,,,,,2,lower_case_with_underscores
args,1155,,,,,433,18,,,704,lowercase
executable,29,,,,,,,,,29,lowercase
call,29,,,1,,,,,,28,lowercase
platform,76,,,4,,,,,,72,lowercase
quote,3,1,,1,,,,,,1,lowercase
arg,101,,,,,16,,,,85,lowercase
spawnl,1,,,,,,,,,1,lowercase
P_WAIT,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
MINIMUM_VERSION,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
DEFAULT_VERSION,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
DEFAULT_URL,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
SETUPTOOLS_FAKED_VERSION,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
SETUPTOOLS_PKG_INFO,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES
_install,2,1,,,,,,,,1,lowercase
tarball,16,,,,,2,1,,,13,lowercase
install_args,5,,,,,1,,,,4,lower_case_with_underscores
tmpdir,45,,,,,4,,,,41,lowercase
mkdtemp,11,,,,,,,,,11,lowercase
warn,284,,,1,,5,6,,,272,lowercase
old_wd,4,,,,,,,,,4,lower_case_with_underscores
getcwd,8,,,,,,,,,8,lowercase
chdir,11,,,,,,,,,11,lowercase
tar,6,,,,,,,,,6,lowercase
open,179,2,,,,,,,,177,lowercase
_extractall,3,1,,,,,,,,2,lowercase
close,174,7,,,,1,1,,,165,lowercase
subdir,32,,,,,,1,,,31,lowercase
join,460,1,,2,,1,,,,456,lowercase
path,1304,,,81,,100,4,5,,1114,lowercase
listdir,10,,,,,,,,,10,lowercase
rmtree,15,,,,,,,,,15,lowercase
_build_egg,2,1,,,,,,,,1,lower_case_with_underscores
egg,8,,,,,1,,,,7,lowercase
to_dir,18,,,,,4,,,,14,lower_case_with_underscores
exists,86,,,,,,,,,86,lowercase
IOError,28,,,,,,,,,28,CapitalizedWords
_do_download,4,1,,,,,,,,3,lower_case_with_underscores
version,94,,,10,,7,5,,,72,lowercase
download_base,10,,,,,3,1,,,6,lower_case_with_underscores
download_delay,6,,,,,2,,,,4,lower_case_with_underscores
version_info,28,,,,,,,,,28,lower_case_with_underscores
download_setuptools,3,1,,,,,,,,2,lower_case_with_underscores
insert,37,,,,,,,,,37,lowercase
setuptools,11,,,10,,,,,,1,lowercase
bootstrap_install_from,1,,,,,,,,,1,lower_case_with_underscores
use_setuptools,3,1,,1,,,,,,1,lower_case_with_underscores
no_fake,3,,,,,1,,,,2,lower_case_with_underscores
curdir,5,,,,,,,,,5,lowercase
abspath,18,,,1,,,,,,17,lowercase
was_imported,2,,,,,,,,,2,lower_case_with_underscores
modules,38,,,1,,,,,,37,lowercase
pkg_resources,13,,,2,,,,,,11,lower_case_with_underscores
require,8,,,,,,,,,8,lowercase
DistributionNotFound,2,,,,,,,,,2,CapitalizedWords
VersionConflict,2,,,,,,,,,2,CapitalizedWords
hasattr,130,,,,,,,,,130,lowercase
_fake_setuptools,3,1,,,,,,,,2,lower_case_with_underscores
e,155,,,,32,7,,,,116,b
exc_info,9,,,,,,,,,9,lower_case_with_underscores
write,234,6,,,,,,,,228,lowercase
stderr,79,,,,,,39,,,40,lowercase
exit,11,,,,,,,,,11,lowercase
_create_fake_setuptools_pkg_info,5,1,,,,,,,,4,lower_case_with_underscores
delay,4,1,,,,1,,,,2,lowercase
urllib,17,,,9,,,,,,8,lowercase
request,44,,,5,,9,,,,30,lowercase
urlopen,12,,,5,,,,,,7,lowercase
urllib2,1,,,1,,,,,,,lowercase
tgz_name,3,,,,,,,,,3,lower_case_with_underscores
url,55,,,,,5,3,,,47,lowercase
saveto,4,,,,,,,,,4,lowercase
src,21,,,,,3,,,,18,lowercase
dst,6,1,,,,,,,,5,lowercase
data,980,2,,,,93,106,,,779,lowercase
read,74,,,,,,,,,74,lowercase
realpath,23,,,,,,,,,23,lowercase
_no_sandbox,5,1,,,,,,,,4,lower_case_with_underscores
function,22,2,,,,3,,,,17,lowercase
__no_sandbox,2,1,,,,,,,,1,lower_case_with_underscores
kw,377,,,,,73,,,,304,lowercase
sandbox,1,,,1,,,,,,,lowercase
DirectorySandbox,8,,,1,,,,,,7,CapitalizedWords
violation,2,1,,,,,,,,1,lowercase
_old,3,,,,,,,,,3,lowercase
_violation,3,,,,,,,,,3,lowercase
patched,7,,,,,,,,,7,lowercase
_patch_file,4,1,,,,,,,,3,lower_case_with_underscores
content,56,,,,,19,,,,37,lowercase
f,391,13,,,,14,,,,364,b
existing_content,4,,,,,,,,,4,lower_case_with_underscores
_rename_path,4,1,,,,,,,,3,lower_case_with_underscores
_same_content,3,1,,,,,,,,2,lower_case_with_underscores
new_name,4,,,,,,,,,4,lower_case_with_underscores
rename,2,,,,,,,,,2,lowercase
_remove_flat_installation,4,1,,,,,,,,3,lower_case_with_underscores
placeholder,13,,,,,2,,,,11,lowercase
isdir,30,,,1,,,,,,29,lowercase
found,15,,,,,1,,,,14,lowercase
file,228,,,,,10,75,,,143,lowercase
pkg_info,20,,,,,,,,,20,lower_case_with_underscores
_patch_egg_dir,5,1,,,,,,,,4,lower_case_with_underscores
element,37,1,,,,,,,,36,lowercase
_after_install,1,1,,,,,,,,,lower_case_with_underscores
dist,29,1,,4,,1,,,,23,lowercase
install_purelib,1,,,,,,,,,1,lower_case_with_underscores
get_command_obj,1,,,,,,,,,1,lower_case_with_underscores
pyver,2,,,,,,,,,2,lowercase
setuptools_file,3,,,,,,,,,3,lower_case_with_underscores
EnvironmentError,13,,,,,,,,,13,CapitalizedWords
pth_file,3,,,,,,,,,3,lower_case_with_underscores
mkdir,5,,,,,,,,,5,lowercase
_before_install,1,1,,,,,,,,,lower_case_with_underscores
_under_prefix,2,1,,,,,,,,1,lower_case_with_underscores
location,30,,,,,2,6,,,22,lowercase
argv,43,,,1,,1,1,,,40,lowercase
index,159,,,,,16,5,,,138,lowercase
enumerate,241,,,,,,,,,241,lowercase
option,3,,,,,,,,,3,lowercase
startswith,106,,,,,,,,,106,lowercase
top_dir,4,,,,,,,,,4,lower_case_with_underscores
split,170,,,,,,,,,170,lowercase
len,1450,,,,,3,,,,1447,lowercase
ws,12,,,,,1,,,,11,lowercase
working_set,1,,,,,,,,,1,lower_case_with_underscores
setuptools_dist,4,,,,,,,,,4,lower_case_with_underscores
find,35,1,,1,,,,,,33,lowercase
parse,38,3,,2,,,,,,33,lowercase
Requirement,2,,,,,,,,,2,CapitalizedWords
replacement,4,,,,,1,1,,,2,lowercase
TypeError,150,,,,,,,,,150,CapitalizedWords
setuptools_location,7,,,,,,,,,7,lower_case_with_underscores
endswith,31,,,,,,,,,31,lowercase
res,195,,,,,,,,,195,lowercase
_relaunch,2,1,,,,,,,,1,lowercase
_cmd1,2,,,,,,,,,2,lowercase
_cmd2,2,,,,,,,,,2,lowercase
members,4,,,,,1,,,,3,lowercase
copy,230,4,,19,,2,32,,,173,lowercase
operator,13,,,6,,,1,,,6,lowercase
ExtractError,2,,,1,,,,,,1,CapitalizedWords
directories,14,,,,,3,,,,11,lowercase
tarinfo,12,,,,,,,,,12,lowercase
append,846,2,,,,,,,,844,lowercase
mode,255,,,,,20,94,,,141,lowercase
extract,4,1,,,,,,,,3,lowercase
sorter,2,1,,,,,,,,1,lowercase
dir1,2,,,,,1,,,,1,lowercase
dir2,2,,,,,1,,,,1,lowercase
cmp,13,,,,,,,,,13,lowercase
name,891,1,,,,104,29,,,757,lowercase
sort,36,,,,,,,,,36,lowercase
reverse,20,,,,,1,10,,,9,lowercase
key,680,,,,,26,61,,,593,lowercase
attrgetter,5,,,1,,,,,,4,lowercase
dirpath,4,,,,,,,,,4,lowercase
chown,1,,,,,,,,,1,lowercase
utime,1,,,,,,,,,1,lowercase
chmod,3,,,,,,,,,3,lowercase
errorlevel,1,,,,,,,,,1,lowercase
_dbg,1,,,,,,,,,1,lowercase
_build_install_args,2,1,,,,,,,,1,lower_case_with_underscores
options,115,2,,,,15,5,,,93,lowercase
user_install,1,,,,,,,,,1,lower_case_with_underscores
SystemExit,18,,,,,,,,,18,CapitalizedWords
_parse_args,5,2,,,,,,,,3,lower_case_with_underscores
parser,77,,,6,,3,,,,68,lowercase
OptionParser,3,,,1,,,,,,2,CapitalizedWords
add_option,9,,,,,,,,,9,lower_case_with_underscores
dest,34,,,,,3,9,,,22,lowercase
action,22,,,,,2,13,,,7,lowercase
default,50,1,,,,4,17,,,28,lowercase
help,28,,,,,,28,,,,lowercase
metavar,1,,,,,,1,,,,lowercase
parse_args,7,,,,,,,,,7,lower_case_with_underscores
main,30,8,,,,,,,,22,lowercase
print_function,308,,,308,,,,,,,lower_case_with_underscores
absolute_import,251,,,251,,,,,,,lower_case_with_underscores
string,17,,,1,,8,,,,8,lowercase
Template,4,,,1,,,,,,3,CapitalizedWords
distribute_setup,1,,,1,,,,,,,lower_case_with_underscores
command,79,,,7,,3,10,,,59,lowercase
test,46,4,,3,,7,,,,32,lowercase
TestCommand,2,,,,,,,1,,1,CapitalizedWords
build_ext,5,,,3,,,,,,2,lower_case_with_underscores
BuildExtCommand,3,,,,,,,1,,2,CapitalizedWords
link,4,,,,,,,,,4,lowercase
AttributeError,111,,,,,,,,,111,CapitalizedWords
remove,134,9,,,,,,,,125,lowercase
setup,73,23,,6,,,,,,44,lowercase
core,20,,,8,,,,1,,11,lowercase
sdist,7,,,5,,,,,,2,lowercase
make_release_tree,3,1,,,,,,,,2,lower_case_with_underscores
Distribution,2,,,1,,,,,,1,CapitalizedWords
setupext,52,,,2,,,,,,50,lowercase
print_line,6,2,,1,,,,,,3,lower_case_with_underscores
print_raw,9,2,,1,,,,,,6,lower_case_with_underscores
print_message,4,1,,1,,,,,,2,lower_case_with_underscores
print_status,6,1,,1,,,,,,4,lower_case_with_underscores
versioneer,5,,,2,,,,,,3,lowercase
get_version,5,2,,,,,,,,3,lower_case_with_underscores
mpl_packages,2,,,,,,,,,2,lower_case_with_underscores
Matplotlib,2,,1,,,,,,,1,CapitalizedWords
Python,2,,1,,,,,,,1,CapitalizedWords
Platform,6,,1,,,,,,,5,CapitalizedWords
Numpy,15,,1,,,,,,,14,CapitalizedWords
Six,2,,1,,,,,,,1,CapitalizedWords
Dateutil,2,,1,,,,,,,1,CapitalizedWords
BackportsFuncToolsLRUCache,2,,1,,,,,,,1,CapitalizedWords
Subprocess32,2,,1,,,,,,,1,CapitalizedWords
Pytz,2,,1,,,,,,,1,CapitalizedWords
Cycler,7,,1,2,,,,,,4,CapitalizedWords
Tornado,2,,1,,,,,,,1,CapitalizedWords
Pyparsing,2,,1,,,,,,,1,CapitalizedWords
LibAgg,7,,1,,,,,,,6,CapitalizedWords
FreeType,4,,1,,,,,,,3,CapitalizedWords
FT2Font,10,,1,2,,,,,,7,CapitalizedWords
Png,2,,1,,,,,,,1,CapitalizedWords
Qhull,3,,1,,,,,,,2,CapitalizedWords
Image,32,,1,10,,,,,,21,CapitalizedWords
TTConv,2,,1,,,,,,,1,CapitalizedWords
Path,818,,2,46,,,,,,770,CapitalizedWords
ContourLegacy,2,,1,,,,,,,1,CapitalizedWords
Contour,2,,1,,,,,,,1,CapitalizedWords
QhullWrap,2,,1,,,,,,,1,CapitalizedWords
Tri,2,,1,,,,,,,1,CapitalizedWords
SampleData,2,,1,,,,,,,1,CapitalizedWords
Toolkits,4,,1,,,,,,,3,CapitalizedWords
Tests,6,,1,,,,,,,5,CapitalizedWords
Toolkits_Tests,2,,1,,,,,,,1,Capitalized_Words_With_Underscores
BackendMacOSX,2,,1,,,,,,,1,CapitalizedWords
BackendQt5,2,,1,,,,,,,1,CapitalizedWords
BackendQt4,2,,1,,,,,,,1,CapitalizedWords
BackendGtk3Agg,2,,1,,,,,,,1,CapitalizedWords
BackendGtk3Cairo,2,,1,,,,,,,1,CapitalizedWords
BackendGtkAgg,2,,1,,,,,,,1,CapitalizedWords
BackendTkAgg,2,,1,,,,,,,1,CapitalizedWords
BackendWxAgg,2,,1,,,,,,,1,CapitalizedWords
BackendGtk,3,,1,,,,,,,2,CapitalizedWords
BackendAgg,2,,1,,,,,,,1,CapitalizedWords
BackendCairo,2,,1,,,,,,,1,CapitalizedWords
Windowing,2,,1,,,,,,,1,CapitalizedWords
DviPng,2,,1,,,,,,,1,CapitalizedWords
Ghostscript,2,,1,,,,,,,1,CapitalizedWords
LaTeX,2,,1,,,,,,,1,CapitalizedWords
PdfToPs,2,,1,,,,,,,1,CapitalizedWords
Dlls,2,,1,,,,,,,1,CapitalizedWords
classifiers,3,,,,,,1,,,2,lowercase
NoopTestCommand,2,,1,,,,,,,1,CapitalizedWords
run,35,14,,,,,,,,21,lowercase
print,439,,,,,,,,,439,lowercase
BuildExtraLibraries,2,,1,,,,,,,1,CapitalizedWords
package,39,,,,,5,2,,,32,lowercase
good_packages,4,,,,,,,,,4,lower_case_with_underscores
do_custom_build,3,2,,,,,,,,1,lower_case_with_underscores
cmdclass,5,,,,,,1,,,4,lowercase
get_cmdclass,2,1,,,,,,,,1,lower_case_with_underscores
packages,6,,,1,,,2,,,3,lowercase
namespace_packages,4,,,,,,1,,,3,lower_case_with_underscores
py_modules,4,,,,,,1,,,3,lower_case_with_underscores
ext_modules,6,,,,,,1,,,5,lower_case_with_underscores
package_data,7,,,,,,2,,,5,lower_case_with_underscores
package_dir,4,,,,,,2,,,2,lower_case_with_underscores
install_requires,4,,,,,,1,,,3,lower_case_with_underscores
setup_requires,5,,,,,,1,,,4,lower_case_with_underscores
default_backend,7,,,,,,,,,7,lower_case_with_underscores
any,67,,,,,,,,,67,lowercase
opt,2,,,,,,,,,2,lowercase
display_option_names,1,,,,,,,,,1,lower_case_with_underscores
required_failed,5,,,,,,,,,5,lower_case_with_underscores
isinstance,610,,,,,,,,,610,lowercase
str,318,,,,,,,,,318,lowercase
upper,53,,,,,3,,,,50,lowercase
result,312,,,,,,1,,,311,lowercase
