name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
absolute_import,240,,,240,,,,,,,lower_case_with_underscores
division,240,,,240,,,,,,,lowercase
print_function,315,,,315,,,,,,,lower_case_with_underscores
unicode_literals,242,,,242,,,,,,,lower_case_with_underscores
matplotlib,2914,,,2664,,,,,,250,lowercase
externals,303,,,303,,,,,,,lowercase
six,779,,,313,,,,,,466,lowercase
os,1098,,,97,,,,,,1001,lowercase
inspect,24,,,7,,,,,,17,lowercase
random,537,,,34,,,,,,503,lowercase
types,25,,,6,,,,,,19,lowercase
textwrap,7,,,4,,,,,,3,lowercase
axes,931,5,,33,,71,21,,,801,lowercase
Axes,199,,4,23,,,1,,,171,CapitalizedWords
PYPLOT_MAGIC_HEADER,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
PYPLOT_PATH,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
join,550,1,,3,,1,,,,545,lowercase
path,1516,,,82,,113,4,4,,1313,lowercase
dirname,103,,,1,,2,1,,,99,lowercase
AUTOGEN_MSG,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
PLOT_TEMPLATE,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES
MISC_FN_TEMPLATE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
CMAP_TEMPLATE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
boilerplate_gen,2,1,,,,,,,,1,lower_case_with_underscores
_plotcommands,2,,,,,,,,,2,lowercase
_misccommands,2,,,,,,,,,2,lowercase
cmappable,3,,,,,,,,,3,lowercase
format_value,2,1,,,,,,,,1,lower_case_with_underscores
value,496,1,,,,82,5,,,408,lowercase
isinstance,454,,,,,,,,,454,lowercase
FunctionType,1,,,,,,,,,1,CapitalizedWords
ValueError,863,,,,,,,,,863,CapitalizedWords
repr,38,,,,,,,,,38,lowercase
text_wrapper,5,,,,,,,,,5,lower_case_with_underscores
TextWrapper,1,,,,,,,,,1,CapitalizedWords
break_long_words,1,,,,,,1,,,,lower_case_with_underscores
fmt,236,,,,,28,24,,,184,lowercase
cmdlist,2,,,,,,,,,2,lowercase
func,337,8,,,,47,,,,282,lowercase
mappable,70,,,,,12,,,,58,lowercase
locals,31,,,,,1,,,,30,lowercase
base_func,3,,,,,,,,,3,lower_case_with_underscores
getattr,139,,,,,,,,,139,lowercase
has_data,17,1,,,,,,,,16,lower_case_with_underscores
parameters,3,,,,,,1,,,2,lowercase
