name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
qds,4,,,,,,,,,4,lowercase,['qds']
rabbitmq,4,,,,,,,,,4,lowercase,['rabbitmq']
redis,24,,,2,,,,,,22,lowercase,['redis']
s3,26,,,,,,,,,26,lowercase,['s3']
salesforce,4,,,,,,,,,4,lowercase,['salesforce']
samba,28,,,,,,,,,28,lowercase,['samba']
segment,6,,,,,,,,,6,lowercase,['segment']
sendgrid,14,,,6,,,,,,8,lowercase,['sendgrid']
slack,10,,,,,,,,,10,lowercase,['slack']
mongo,6,,,,,,,,,6,lowercase,['mongo']
snowflake,10,,,2,,,,,,8,lowercase,['snowflake']
ssh,6,,,,,,,,,6,lowercase,['ssh']
statsd,15,,,2,,,,,,13,lowercase,['statsd']
vertica,14,,,,,,,,,14,lowercase,['vertica']
webhdfs,8,,,,,,,,,8,lowercase,['webhdfs']
winrm,7,,,3,,,,,,4,lowercase,['winrm']
zendesk,10,,,,,,,,,10,lowercase,['zendesk']
all_dbs,6,,,,,,,,,6,lower_case_with_underscores,"['all', 'dbs']"
devel,8,,,,,,,,,8,lowercase,['devel']
devel_minreq,8,,,,,,,,,8,lower_case_with_underscores,"['devel', 'minreq']"
devel_hadoop,4,,,,,,,,,4,lower_case_with_underscores,"['devel', 'hadoop']"
devel_azure,4,,,,,,,,,4,lower_case_with_underscores,"['devel', 'azure']"
devel_all,10,,,,,,,,,10,lower_case_with_underscores,"['devel', 'all']"
devel_ci,6,,,,,,,,,6,lower_case_with_underscores,"['devel', 'ci']"
package,6,,,,,,,,,6,lowercase,['package']
do_setup,4,2,,,,,,,,2,lower_case_with_underscores,"['do', 'setup']"
name,2123,7,,,,201,787,,,1128,lowercase,['name']
description,273,4,,,,18,106,,,145,lowercase,['description']
long_description_content_type,2,,,,,,2,,,,lower_case_with_underscores,"['long', 'description', 'content', 'type']"
license,2,,,,,,2,,,,lowercase,['license']
packages,12,,,,,4,4,,,4,lowercase,['packages']
exclude,4,,,,,,4,,,,lowercase,['exclude']
package_data,2,,,,,,2,,,,lower_case_with_underscores,"['package', 'data']"
include_package_data,2,,,,,,2,,,,lower_case_with_underscores,"['include', 'package', 'data']"
zip_safe,2,,,,,,2,,,,lower_case_with_underscores,"['zip', 'safe']"
scripts,2,,,,,,2,,,,lowercase,['scripts']
install_requires,2,,,,,,2,,,,lower_case_with_underscores,"['install', 'requires']"
setup_requires,2,,,,,,2,,,,lower_case_with_underscores,"['setup', 'requires']"
extras_require,2,,,,,,2,,,,lower_case_with_underscores,"['extras', 'require']"
classifiers,2,,,,,,2,,,,lowercase,['classifiers']
author,2,,,,,,2,,,,lowercase,['author']
author_email,2,,,,,,2,,,,lower_case_with_underscores,"['author', 'email']"
url,523,,,,,14,33,,,476,lowercase,['url']
download_url,10,,,,,,2,,,8,lower_case_with_underscores,"['download', 'url']"
cmdclass,2,,,,,,2,,,,lowercase,['cmdclass']
python_requires,2,,,,,,2,,,,lower_case_with_underscores,"['python', 'requires']"
absolute_import,71,,,71,,,,,,,lower_case_with_underscores,"['absolute', 'import']"
division,57,,,57,,,,,,,lowercase,['division']
print_function,101,,,101,,,,,,,lower_case_with_underscores,"['print', 'function']"
unicode_literals,94,,,94,,,,,,,lower_case_with_underscores,"['unicode', 'literals']"
builtins,111,,,111,,,,,,,lowercase,['builtins']
str,1169,,,36,,,,,,1133,lowercase,['str']
collections,59,,,54,,,,,,5,lowercase,['collections']
OrderedDict,62,,,24,,,,,,38,CapitalizedWords,"['ordered', 'dict']"
copy,218,2,,54,,,,,,162,lowercase,['copy']
future,127,,,17,,9,42,,,59,lowercase,['future']
standard_library,20,,,12,,,,,,8,lower_case_with_underscores,"['standard', 'library']"
shlex,4,,,2,,,,,,2,lowercase,['shlex']
six,350,,,140,,,,,,210,lowercase,['six']
iteritems,37,,,4,,,,,,33,lowercase,['iteritems']
warnings,93,,,35,,,,,,58,lowercase,['warnings']
backports,6,,,6,,,,,,,lowercase,['backports']
configparser,11,,,8,,,,,,3,lowercase,['configparser']
ConfigParser,9,,,2,,,,,,7,CapitalizedWords,"['config', 'parser']"
zope,14,,,14,,,,,,,lowercase,['zope']
deprecation,21,,,17,,,,,,4,lowercase,['deprecation']
deprecated,16,,,11,,,,,,5,lowercase,['deprecated']
_deprecated,18,,,,,,,9,,9,lowercase,['deprecated']
airflow,5795,,,5641,,,,,,154,lowercase,['airflow']
exceptions,555,,,467,,,,,,88,lowercase,['exceptions']
AirflowConfigException,104,,2,31,,,,,,71,CapitalizedWords,"['airflow', 'config', 'exception']"
utils,1678,,,1512,,,,4,,162,lowercase,['utils']
log,3266,6,,161,,16,5,,,3078,lowercase,['log']
logging_mixin,132,,,132,,,,,,,lower_case_with_underscores,"['logging', 'mixin']"
LoggingMixin,355,,2,150,,,,,,203,CapitalizedWords,"['logging', 'mixin']"
install_aliases,16,,,4,,,,,,12,lower_case_with_underscores,"['install', 'aliases']"
filterwarnings,6,,,,,,,,,6,lowercase,['filterwarnings']
action,271,,,4,,1,64,,,202,lowercase,['action']
category,113,,,,,,103,,,10,lowercase,['category']
DeprecationWarning,54,,,,,,,,,54,CapitalizedWords,"['deprecation', 'warning']"
module,68,,,,,4,4,,,60,lowercase,['module']
PendingDeprecationWarning,10,,,,,,,,,10,CapitalizedWords,"['pending', 'deprecation', 'warning']"
generate_fernet_key,4,2,,,,,,,,2,lower_case_with_underscores,"['generate', 'fernet', 'key']"
cryptography,13,,,13,,,,,,,lowercase,['cryptography']
fernet,45,,,6,,,,,,39,lowercase,['fernet']
Fernet,20,,,6,,,,,,14,CapitalizedWords,['fernet']
decode,551,2,,,,,2,,,547,lowercase,['decode']
generate_key,8,,,,,,,,,8,lower_case_with_underscores,"['generate', 'key']"
expand_env_var,20,2,,,,,,,,18,lower_case_with_underscores,"['expand', 'env', 'var']"
env_var,33,,,,,4,,,,29,lower_case_with_underscores,"['env', 'var']"
interpolated,8,,,,,,,,,8,lowercase,['interpolated']
expanduser,54,,,4,,,,,,50,lowercase,['expanduser']
expandvars,2,,,,,,,,,2,lowercase,['expandvars']
run_command,27,4,,3,,,,,,20,lower_case_with_underscores,"['run', 'command']"
process,125,,,,,2,,,,123,lowercase,['process']
Popen,98,2,,6,,,,,,90,CapitalizedWords,['popen']
stdout,330,,,,,2,70,,,258,lowercase,['stdout']
PIPE,68,,,6,,,,,,62,UPPERCASE,"['pip', 'e']"
stderr,192,,,,,2,65,,,125,lowercase,['stderr']
close_fds,39,,,,,,39,,,,lower_case_with_underscores,"['close', 'fds']"
output,169,,,,,,,,,169,lowercase,['output']
stream,62,2,,4,,8,11,,,37,lowercase,['stream']
getdefaultencoding,6,,,,,,,,,6,lowercase,['getdefaultencoding']
communicate,15,,,,,,,,,15,lowercase,['communicate']
returncode,71,,,,,,,,,71,lowercase,['returncode']
_read_default_config_file,8,2,,,,,,,,6,lower_case_with_underscores,"['read', 'default', 'config', 'file']"
file_name,124,,,,,20,,,,104,lower_case_with_underscores,"['file', 'name']"
templates_dir,6,,,,,,,,,6,lower_case_with_underscores,"['templates', 'dir']"
dirname,89,,,2,,,,,,87,lowercase,['dirname']
file_path,253,4,,,,43,4,,,202,lower_case_with_underscores,"['file', 'path']"
PY2,59,,,9,,,,,,50,UPPERCASE,['py2']
config,707,,,45,,73,65,,,524,lowercase,['config']
DEFAULT_CONFIG,11,,,1,,,,,,10,UPPER_CASE_WITH_UNDERSCORES,"['default', 'config']"
TEST_CONFIG,28,,,,,,,,,28,UPPER_CASE_WITH_UNDERSCORES,"['test', 'config']"
AirflowConfigParser,43,,2,3,,,,,,38,CapitalizedWords,"['airflow', 'config', 'parser']"
as_command_stdout,14,,,,,,,,,14,lower_case_with_underscores,"['as', 'command', 'stdout']"
deprecated_options,8,,,,,,,,,8,lower_case_with_underscores,"['deprecated', 'options']"
deprecation_format_string,2,,,,,,,,,2,lower_case_with_underscores,"['deprecation', 'format', 'string']"
default_config,18,,,,,2,12,,,4,lower_case_with_underscores,"['default', 'config']"
kwargs,2242,,,,,855,2,,,1385,lowercase,['kwargs']
super,1180,,,,,,,,,1180,lowercase,['super']
airflow_defaults,18,,,,,,,,,18,lower_case_with_underscores,"['airflow', 'defaults']"
read_string,15,,,,,,,,,15,lower_case_with_underscores,"['read', 'string']"
is_validated,4,,,,,,,,,4,lower_case_with_underscores,"['is', 'validated']"
_validate,47,9,,,,,,,,38,lowercase,['validate']
get,3124,15,,,,,,,,3109,lowercase,['get']
getboolean,191,2,,,,,,,,189,lowercase,['getboolean']
lower,222,,,,,,,,,222,lowercase,['lower']
_get_env_var_option,10,2,,,,,,,,8,lower_case_with_underscores,"['get', 'env', 'var', 'option']"
section,158,,,,,21,7,,,130,lowercase,['section']
key,1527,3,,,1,105,254,,,1164,lowercase,['key']
S,4,,,,,,4,,,,B,"['', 's']"
upper,51,,,,,,,,,51,lowercase,['upper']
K,2,,,,,,2,,,,B,"['', 'k']"
_get_cmd_option,8,2,,,,,,,,6,lower_case_with_underscores,"['get', 'cmd', 'option']"
fallback_key,6,,,,,,,,,6,lower_case_with_underscores,"['fallback', 'key']"
has_option,57,2,,,,,,,,55,lower_case_with_underscores,"['has', 'option']"
deprecated_name,26,,,,,2,,,,24,lower_case_with_underscores,"['deprecated', 'name']"
option,107,,,,,4,,,,103,lowercase,['option']
_warn_deprecate,8,2,,,,,,,,6,lower_case_with_underscores,"['warn', 'deprecate']"
locals,103,,,,,,,,,103,lowercase,['locals']
val,204,2,,,,11,4,,,187,lowercase,['val']
strip,141,,,,,,,,,141,lowercase,['strip']
getint,168,2,,,,,,,,166,lowercase,['getint']
int,287,,,,,,2,,,285,lowercase,['int']
getfloat,15,2,,,,,,,,13,lowercase,['getfloat']
float,80,,,,,,,,,80,lowercase,['float']
filenames,4,,,,,2,,,,2,lowercase,['filenames']
read_dict,7,2,,,,,,,,5,lower_case_with_underscores,"['read', 'dict']"
remove_option,32,2,,,,,,,,30,lower_case_with_underscores,"['remove', 'option']"
remove_default,7,,,,,2,3,,,2,lower_case_with_underscores,"['remove', 'default']"
getsection,18,2,,,,,,,,16,lowercase,['getsection']
_sections,10,,,,,,,,,10,lowercase,['sections']
_section,12,,,,,,,,,12,lowercase,['section']
deepcopy,159,,,23,,,,,,136,lowercase,['deepcopy']
update,333,1,,,,4,,,,328,lowercase,['update']
section_prefix,6,,,,,,,,,6,lower_case_with_underscores,"['section', 'prefix']"
sorted,174,,,,,,,,,174,lowercase,['sorted']
keys,199,,,,,9,7,,,183,lowercase,['keys']
startswith,103,,,,,,,,,103,lowercase,['startswith']
replace,342,,,,,21,36,,,285,lowercase,['replace']
ValueError,322,,,,,,,,,322,CapitalizedWords,"['value', 'error']"
as_dict,44,6,,,,,,,,38,lower_case_with_underscores,"['as', 'dict']"
display_source,12,,,,,2,4,,,6,lower_case_with_underscores,"['display', 'source']"
display_sensitive,20,,,,,2,14,,,4,lower_case_with_underscores,"['display', 'sensitive']"
raw,79,,,,,12,16,,,51,lowercase,['raw']
cfg,49,,,,,1,,,,48,lowercase,['cfg']
configs,20,,,,,4,4,,,12,lowercase,['configs']
source_name,4,,,,,,,,,4,lower_case_with_underscores,"['source', 'name']"
sections,11,,,,,,,,,11,lowercase,['sections']
sect,4,,,,,,,,,4,lowercase,['sect']
setdefault,26,2,,,,,,,,24,lowercase,['setdefault']
k,414,,,,,2,4,,,408,b,['k']
items,310,,,,,23,4,,,283,lowercase,['items']
ev,22,,,,,,,,,22,lowercase,['ev']
_,263,,,1,1,123,,,,138,ugly,[]
opt,43,,,,,,,,,43,lowercase,['opt']
load_test_config,177,2,,,,,,,,175,lower_case_with_underscores,"['load', 'test', 'config']"
parameterized_config,24,2,,3,,,,,,19,lower_case_with_underscores,"['parameterized', 'config']"
TEST_CONFIG_FILE,13,,,,,,,,,13,UPPER_CASE_WITH_UNDERSCORES,"['test', 'config', 'file']"
warn,58,,,,,,,,,58,lowercase,['warn']
old,13,,,,,1,4,,,8,lowercase,['old']
new,61,,,,,1,52,,,8,lowercase,['new']
stacklevel,11,,,,,,11,,,,lowercase,['stacklevel']
mkdir_p,15,2,,5,,,,,,8,lower_case_with_underscores,"['mkdir', 'p']"
makedirs,18,,,,,,,,,18,lowercase,['makedirs']
exc,43,,,14,5,,,,,24,lowercase,['exc']
OSError,60,,,,,,,,,60,CapitalizedWords,"['os', 'error']"
EEXIST,5,,,,,,,,,5,UPPERCASE,"['eexis', 't']"
isdir,20,,,,,,,,,20,lowercase,['isdir']
strerror,2,,,,,,,,,2,lowercase,['strerror']
AIRFLOW_HOME,48,,,2,,,2,,1,43,UPPER_CASE_WITH_UNDERSCORES,"['airflow', 'home']"
isfile,56,,,,,,,,,56,lowercase,['isfile']
AIRFLOW_CONFIG,28,,,,,,2,,,26,UPPER_CASE_WITH_UNDERSCORES,"['airflow', 'config']"
_TEST_DAGS_FOLDER,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['test', 'dags', 'folder']"
realpath,39,,,,,,,,,39,lowercase,['realpath']
exists,275,5,,1,,1,,,,268,lowercase,['exists']
TEST_DAGS_FOLDER,21,,,1,,,,,,20,UPPER_CASE_WITH_UNDERSCORES,"['test', 'dags', 'folder']"
_TEST_PLUGINS_FOLDER,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['test', 'plugins', 'folder']"
TEST_PLUGINS_FOLDER,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['test', 'plugins', 'folder']"
template,50,,,,,8,5,,,37,lowercase,['template']
all_vars,4,,,,,,,,,4,lower_case_with_underscores,"['all', 'vars']"
v,365,,,,,24,7,,,334,b,['v']
d,441,,,,,15,10,,,416,b,['d']
globals,32,,,,,,,,,32,lowercase,['globals']
FERNET_KEY,18,,,,,,,,,18,UPPER_CASE_WITH_UNDERSCORES,"['fernet', 'key']"
TEMPLATE_START,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['template', 'start']"
info,1799,2,,,,,4,,,1793,lowercase,['info']
encode,130,2,,,,,,,,128,lowercase,['encode']
conf,1395,4,,92,,25,55,29,,1190,lowercase,['conf']
DEFAULT_WEBSERVER_CONFIG,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['default', 'webserver', 'config']"
WEBSERVER_CONFIG,10,,,1,,,,,,9,UPPER_CASE_WITH_UNDERSCORES,"['webserver', 'config']"
set,406,4,,,,,,,,402,lowercase,['set']
func,193,,,15,,22,2,,,154,lowercase,['func']
flask_login,48,,,26,,,,,,22,lower_case_with_underscores,"['flask', 'login']"
login_required,82,,,10,,,,,,72,lower_case_with_underscores,"['login', 'required']"
current_user,64,,,14,,,,,,50,lower_case_with_underscores,"['current', 'user']"
logout_user,16,,,10,,,,,,6,lower_case_with_underscores,"['logout', 'user']"
flask,88,,,78,,,,,,10,lowercase,['flask']
url_for,117,,,31,,,,,,86,lower_case_with_underscores,"['url', 'for']"
redirect,202,,,22,,,,,,180,lowercase,['redirect']
settings,612,,,154,,,,1,,457,lowercase,['settings']
models,1879,,,839,,,,,,1040,lowercase,['models']
db,522,4,,199,,6,13,,,300,lowercase,['db']
provide_session,514,2,,89,,,,,,423,lower_case_with_underscores,"['provide', 'session']"
DEFAULT_USERNAME,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['default', 'username']"
login_manager,38,,,,,,,,,38,lower_case_with_underscores,"['login', 'manager']"
LoginManager,12,,,,,,,,,12,CapitalizedWords,"['login', 'manager']"
login_view,12,,,,,,,,,12,lower_case_with_underscores,"['login', 'view']"
login_message,8,,,,,,,,,8,lower_case_with_underscores,"['login', 'message']"
DefaultUser,6,,2,,,,,,,4,CapitalizedWords,"['default', 'user']"
object,798,,,15,,34,63,,,686,lowercase,['object']
user,354,,,1,,26,34,,,293,lowercase,['user']
is_active,63,12,,,,,2,,,49,lower_case_with_underscores,"['is', 'active']"
