name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
annotations,1227,,,1179,,4,6,,,38,lowercase
glob,49,,,13,,,,,,36,lowercase
json,583,,,142,,14,17,,,410,lowercase
logging,358,1,,137,,,,,,220,lowercase
os,918,,,180,,,,,,738,lowercase
subprocess,129,,,32,,,,,,97,lowercase
sys,178,,,54,,,,,,124,lowercase
unittest,3,,,1,,,,,,2,lowercase
copy,137,1,,40,,,,,,96,lowercase
deepcopy,55,,,15,,,,,,40,lowercase
path,708,,,9,,72,18,,,609,lowercase
relpath,16,,,1,,,,,,15,lowercase
pathlib,49,,,30,,,,,,19,lowercase
Path,104,,,22,,,,,,82,CapitalizedWords
textwrap,30,,,18,,,,,,12,lowercase
wrap,4,1,,1,,,,,,2,lowercase
typing,707,,,703,,,,,,4,lowercase
Iterable,353,,,86,,,,,,267,CapitalizedWords
setuptools,3,,,3,,,,,,,lowercase
Command,16,,,4,,,2,,,10,CapitalizedWords
Distribution,4,,,1,,,,,,3,CapitalizedWords
find_namespace_packages,2,,,1,,,,,,1,lower_case_with_underscores
setup,16,13,,2,,,,,,1,lowercase
command,240,1,,5,,38,29,,,167,lowercase
develop,2,,,2,,,,,,,lowercase
develop_orig,2,,,,,,,1,,1,lower_case_with_underscores
install,3,1,,2,,,,,,,lowercase
install_orig,2,,,,,,,1,,1,lower_case_with_underscores
distutils,1,,,1,,,,,,,lowercase
log,3247,3,,100,,11,3,,,3130,lowercase
INSTALL_PROVIDERS_FROM_SOURCES,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
PY39,2,,,,,,,,,2,UPPERCASE
version_info,21,,,,,,,,,21,lower_case_with_underscores
logger,111,,,,,8,8,,,95,lowercase
getLogger,122,,,,,,,,,122,mixedCase
version,206,2,,54,,11,29,,,110,lowercase
AIRFLOW_SOURCES_ROOT,9,,,,,,,,,9,UPPER_CASE_WITH_UNDERSCORES
resolve,36,10,,,,3,,,,23,lowercase
parent,260,,,,,4,34,,,222,lowercase
PROVIDERS_ROOT,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
CROSS_PROVIDERS_DEPS,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
DEPS,4,,,,,,,,,4,UPPERCASE
