name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
test_operation_get,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'get']"
test_operation_get_with_templates,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'get', 'with', 'templates']"
test_operation_get_should_throw_ex_when_operation_name_none,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'get', 'should', 'throw', 'ex', 'when', 'operation', 'name', 'none']"
GcpStorageTransferOperationListOperatorTest,1,,1,,,,,,,,CapitalizedWords,"['gcp', 'storage', 'transfer', 'operation', 'list', 'operator', 'test']"
test_operation_list,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'list']"
GcpStorageTransferOperationsPauseOperatorTest,1,,1,,,,,,,,CapitalizedWords,"['gcp', 'storage', 'transfer', 'operations', 'pause', 'operator', 'test']"
test_operation_pause,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'pause']"
test_operation_pause_with_templates,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'pause', 'with', 'templates']"
test_operation_pause_should_throw_ex_when_name_none,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'pause', 'should', 'throw', 'ex', 'when', 'name', 'none']"
GcpStorageTransferOperationsResumeOperatorTest,1,,1,,,,,,,,CapitalizedWords,"['gcp', 'storage', 'transfer', 'operations', 'resume', 'operator', 'test']"
test_operation_resume,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'resume']"
test_operation_resume_with_templates,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'resume', 'with', 'templates']"
test_operation_resume_should_throw_ex_when_name_none,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'resume', 'should', 'throw', 'ex', 'when', 'name', 'none']"
GcpStorageTransferOperationsCancelOperatorTest,1,,1,,,,,,,,CapitalizedWords,"['gcp', 'storage', 'transfer', 'operations', 'cancel', 'operator', 'test']"
test_operation_cancel,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'cancel']"
test_operation_cancel_with_templates,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'cancel', 'with', 'templates']"
test_operation_cancel_should_throw_ex_when_name_none,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'operation', 'cancel', 'should', 'throw', 'ex', 'when', 'name', 'none']"
S3ToGoogleCloudStorageTransferOperatorTest,1,,1,,,,,,,,CapitalizedWords,"['s3', 'to', 'google', 'cloud', 'storage', 'transfer', 'operator', 'test']"
test_constructor,2,2,,,,,,,,,lower_case_with_underscores,"['test', 'constructor']"
