name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
glob,92,,,26,,,,,,66,lowercase
logging,300,1,,121,,,,,,178,lowercase
os,1463,,,274,,,,,,1189,lowercase
subprocess,181,,,43,,,,,,138,lowercase
sys,237,,,69,,,,,,168,lowercase
unittest,16,,,9,,,,,,7,lowercase
copy,111,1,,31,,,,,,79,lowercase
deepcopy,49,,,14,,,,,,35,lowercase
distutils,7,,,7,,,,,,,lowercase
log,2692,2,,88,,8,3,,,2591,lowercase
path,888,,,16,,62,23,,,787,lowercase
dirname,81,,,8,,,,,,73,lowercase
relpath,28,,,2,,,,,,26,lowercase
textwrap,45,,,23,,,,,,22,lowercase
wrap,6,1,,2,,,,,,3,lowercase
typing,655,,,654,,,,,,1,lowercase
Dict,1398,,,311,,,,,,1087,CapitalizedWords
List,1161,,,266,,,,,,895,CapitalizedWords
setuptools,4,,,4,,,,,,,lowercase
Command,12,,,3,,,1,,,8,CapitalizedWords
Distribution,3,,,1,,,,,,2,CapitalizedWords
find_namespace_packages,2,,,1,,,,,,1,lower_case_with_underscores
setup,24,12,,8,,,,,,4,lowercase
command,243,1,,3,,31,46,,,162,lowercase
develop,2,,,2,,,,,,,lowercase
develop_orig,2,,,,,,,1,,1,lower_case_with_underscores
install,3,1,,2,,,,,,,lowercase
install_orig,2,,,,,,,1,,1,lower_case_with_underscores
INSTALL_PROVIDERS_FROM_SOURCES,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
PY39,3,,,,,,,,,3,UPPERCASE
version_info,19,,,,,,,,,19,lower_case_with_underscores
logger,73,,,,,7,8,,,58,lowercase
getLogger,104,,,,,,,,,104,mixedCase
version,255,1,,45,,23,34,,,152,lowercase
my_dir,6,,,,,,,,,6,lower_case_with_underscores
airflow_test_suite,1,1,,,,,,,,,lower_case_with_underscores
test_loader,2,,,,,,,,,2,lower_case_with_underscores
TestLoader,1,,,,,,,,,1,CapitalizedWords
test_suite,3,,,,,,1,,,2,lower_case_with_underscores
discover,1,,,,,,,,,1,lowercase
join,554,,,2,,,,,,552,lowercase
pattern,40,,,,,7,6,,,27,lowercase
TestSuite,1,,,,,,,,,1,CapitalizedWords
CleanCommand,2,,1,,,,,,,1,CapitalizedWords
description,192,5,,,,21,49,,,117,lowercase
user_options,3,,,,,,,,,3,lower_case_with_underscores
str,10387,,,,,,,,,10387,lowercase
initialize_options,3,3,,,,,,,,,lower_case_with_underscores
finalize_options,3,3,,,,,,,,,lower_case_with_underscores
rm_all_files,8,1,,,,,,,,7,lower_case_with_underscores
files,166,,,2,,21,7,,,136,lowercase
file,229,,,7,,13,28,,,181,lowercase
remove,41,2,,,,1,2,,,36,lowercase
e,542,,,,220,1,,,,321,b
Exception,299,,,,,,,,,299,CapitalizedWords
warning,177,,,,,,,,,177,lowercase
staticmethod,261,,,,,,,,,261,lowercase
run,166,34,,1,,2,,,,129,lowercase
chdir,8,,,,,,,,,8,lowercase
recursive,66,,,,,8,38,,,20,lowercase
CompileAssets,2,,1,,,,,,,1,CapitalizedWords
check_call,16,,,1,,,,,,15,lower_case_with_underscores
ListExtras,2,,1,,,,,,,1,CapitalizedWords
print,611,,,7,,,,,,604,lowercase
keys,167,1,,,,10,6,,,150,lowercase
EXTRAS_REQUIREMENTS,23,,,2,,,,,,21,UPPER_CASE_WITH_UNDERSCORES
git_version,14,1,,,,,1,,,12,lower_case_with_underscores
version_,2,,,,,1,,,,1,lowercase
git,4,,,1,,,,,,3,lowercase
repo,20,,,,,,2,,,18,lowercase
Repo,1,,,,,,,,,1,CapitalizedWords
NoSuchPathError,1,,,,,,,,,1,CapitalizedWords
InvalidGitRepositoryError,1,,,,,,,,,1,CapitalizedWords
ImportError,106,,1,3,,,,,,102,CapitalizedWords
sha,3,,,,,,,,,3,lowercase
hexsha,1,,,,,,,,,1,lowercase
commit,161,3,,,,7,11,,,140,lowercase
head,10,,,,,,,,,10,lowercase
is_dirty,1,,,,,,,,,1,lower_case_with_underscores
write_version,2,1,,,,,,,,1,lower_case_with_underscores
filename,245,,,,,32,72,,,141,lowercase
text,82,,,6,,5,2,,,69,lowercase
open,193,,,,,,1,,,192,lowercase
write,87,4,,1,,,,,,82,lowercase
pandas_requirement,10,,,,,,,,,10,lower_case_with_underscores
alibaba,6,,,4,,,,,,2,lowercase
amazon,258,,,256,,,,,,2,lowercase
apache_beam,3,,,1,,,,,,2,lower_case_with_underscores
asana,7,,,5,,,,,,2,lowercase
async_packages,2,,,,,,,,,2,lower_case_with_underscores
atlas,2,,,,,,,,,2,lowercase
azure,89,,,85,,,,,,4,lowercase
cassandra,18,,,16,,,,,,2,lowercase
